user,senti_text_processed,sentimenal_res
Riga,"video surveillance is not prohibited, but certain requirements must be met - there must be a notification that video surveillance is being carried out and there must be information about the data controller. will be able to tell you in more detail","{'Negative': 0.10953381, 'Neutral': 0.8567351, 'Positive': 0.033731066}"
Riga,:00 p.m.: six persons have been detained so far in connection with may ; nine administrative violation proceedings and one criminal proceeding have been initiated.read more in pictures:,"{'Negative': 0.4460597, 'Neutral': 0.5403005, 'Positive': 0.013639769}"
Riga,"there are a total of video surveillance cameras in bolderja and vakarbulli. it must be admitted that there are no cameras right next to this inscription, but they are installed in many other places where violations are often found.with the expansion of the cctv system, it is possible that a camera will also be installed at this sign in the future.","{'Negative': 0.25637427, 'Neutral': 0.6686585, 'Positive': 0.07496722}"
Riga,"hoping to get hockey tickets, young people overturn an ice sculpture in station square.explaining their actions, the young people pointed to plastic plates that looked like tickets and were frozen in the statue.arrested and taken to info:","{'Negative': 0.27161098, 'Neutral': 0.6725453, 'Positive': 0.055843715}"
Riga,"tonight, young people are gathering in the imanta microdistrict in riga, inciting physical clashes, an alert has been announced in the administration of the vp riga prdaugava and the riga sub unit, all forces have been mobilized. there is increased control, we react immediately, preventing the formation and development of clashes. read more:","{'Negative': 0.41489336, 'Neutral': 0.5518897, 'Positive': 0.033216987}"
Riga,"police are looking for y.o. justini reinikovu, whose . around at she left her residence in rzekne prov., nautrni parish, rogovka and has not returned. height cm. dressed in a pink jacket, white sweater, black jeans.if you know her location, call , .","{'Negative': 0.3217293, 'Neutral': 0.6478477, 'Positive': 0.03042304}"
Riga,young people have been arrested for the tactile damage to the freedom monument.more info:,"{'Negative': 0.6301023, 'Neutral': 0.355872, 'Positive': 0.014025694}"
Riga,persons identified and arrested yesterday evening. a total of young people aged between and years. delivered to,"{'Negative': 0.3158375, 'Neutral': 0.66421056, 'Positive': 0.019951953}"
Riga,"our blood this land,our country and free glory.people like usthere are no more of them in the world./alexander chuck/","{'Negative': 0.30030057, 'Neutral': 0.4789327, 'Positive': 0.22076678}"
Riga,"over the last year, has received calls about excessive traffic in the city, as many as calls per month in the summer. it is an unjustified overload for both the residents of riga and the police,"" writes , the deputy chairman of , in a statement to the media.","{'Negative': 0.726331, 'Neutral': 0.2564215, 'Positive': 0.01724757}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from april to may .","{'Negative': 0.03793897, 'Neutral': 0.9195243, 'Positive': 0.042536743}"
Riga,the police in purvciema separate a frozen and undernourished child from an intoxicated mother.read more:,"{'Negative': 0.4228341, 'Neutral': 0.54989773, 'Positive': 0.027268147}"
Riga,video: riga municipal police remind boaters about safety rules.,"{'Negative': 0.13401106, 'Neutral': 0.8226379, 'Positive': 0.043351043}"
Riga,"today we participated in the ""baltic security conference "". thank you to all those interested who visited our stand and asked questions about unmanned aircraft, special vehicles, video surveillance in the city, as well as job opportunities and other bonuses.","{'Negative': 0.001304681, 'Neutral': 0.07903109, 'Positive': 0.91966426}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from april to april .","{'Negative': 0.04114832, 'Neutral': 0.91324586, 'Positive': 0.04560589}"
Riga,". has punished two persons in connection with an impromptu concert in bastejkaln.on saturday evening, a man had set up drums and sound-amplifying devices on the bank of the canal, between bastejkalnu and the freedom monument, and held a concert that disturbed public peace and order.","{'Negative': 0.8296074, 'Neutral': 0.16452625, 'Positive': 0.0058662505}"
Riga,an administrative violation process has been initiated against the person for petty hooliganism.,"{'Negative': 0.8042577, 'Neutral': 0.19102594, 'Positive': 0.0047163544}"
Riga,"a brown bear has been spotted in riga, in the bolderja neighborhood, near bulliup!you may have already borrowed further and there is no reason to worry - it is good to be careful, it is especially important not to leave food or garbage anywhere that is accessible, so that the bear does not want to stay there - it has not been declared! watch out.","{'Negative': 0.18719603, 'Neutral': 0.5367607, 'Positive': 0.27604327}"
Riga,"on april of this year, the most ambitious training for the release of kidnapped persons organized by the state police took place in riga. they were attended by large forces from the state police and , and representatives of participated as observers.read more:","{'Negative': 0.014096801, 'Neutral': 0.6963711, 'Positive': 0.2895321}"
Riga,"on friday, april , the child delinquency prevention department of rpp will hold a safety and knowledge day in cooperation with daugava branch library.we invite families and everyone interested to attend the event!","{'Negative': 0.0016550778, 'Neutral': 0.19909273, 'Positive': 0.7992523}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from april to april .","{'Negative': 0.04114832, 'Neutral': 0.91324586, 'Positive': 0.04560589}"
Riga,"today, april , riga municipality police officers participated in the career support event ""people in uniform"" organized by riga purvciem secondary school.thanks to the school students for their active interest!","{'Negative': 0.0018288875, 'Neutral': 0.09755188, 'Positive': 0.9006192}"
Riga,"for shooting at seagulls, the police in vecmlgrv arrest a man in his teens. the offender was taken to the state police station, where the process was initiated and the weapon was seized.read more:","{'Negative': 0.5925196, 'Neutral': 0.39278367, 'Positive': 0.014696787}"
Riga,the law provides for that.,"{'Negative': 0.14051522, 'Neutral': 0.7046396, 'Positive': 0.1548452}"
Riga,"thanks for the information! the police respond to all calls, however calls that require prompt police action are primarily served. in this case, the crew arrived at the address at . a process has been initiated at the scene.","{'Negative': 0.02230966, 'Neutral': 0.5135866, 'Positive': 0.4641038}"
Riga,"good morning! please send the exact call information - address, date and time.","{'Negative': 0.008785592, 'Neutral': 0.6140613, 'Positive': 0.37715304}"
Riga,"indeed, the serial number matches the mac. but in any case, the device is not connected to the network and in this case you cannot start anything with this number.but thank you for your attention","{'Negative': 0.34149066, 'Neutral': 0.52372444, 'Positive': 0.13478495}"
Riga,"it's the machine's serial number, not the mac address.","{'Negative': 0.28084436, 'Neutral': 0.6878693, 'Positive': 0.031286366}"
Riga,"deliveries in parking lots, normal parking lots, in the territory of the delivery place (inside the yard, if there is one). yes, compliance may make the delivery service more expensive, but getting fined regularly doesn't make it cheaper either.","{'Negative': 0.72085875, 'Neutral': 0.25604072, 'Positive': 0.0231005}"
Riga,we also gave the info to our patrols to pay attention.,"{'Negative': 0.03541822, 'Neutral': 0.8670174, 'Positive': 0.097564384}"
Riga,"for the savior. if you want active seasonal work and are not afraid of water, join the rpp water safety management team.we are waiting for your application! more about the vacancy: .","{'Negative': 0.016549448, 'Neutral': 0.4905423, 'Positive': 0.49290836}"
Riga,"at the moment we will mostly work directly in the center, but at the end of may the bike patrols will be in all neighborhoods on both sides of the daugava.","{'Negative': 0.0071005886, 'Neutral': 0.86505646, 'Positive': 0.12784298}"
Riga,"yes, we have shown these videos to various authorities to achieve a simpler sentencing decision form. however, currently the forms are as they are and are specially made to order by csdd.","{'Negative': 0.0431006, 'Neutral': 0.8163277, 'Positive': 0.14057165}"
Riga,"there are specific rules for vendors, and at certain times they may park in the area of sign (""no stopping""), but may not park on the sidewalk/bicycle path.however, couriers (both for mail and food) are the main offenders.","{'Negative': 0.5165664, 'Neutral': 0.45083135, 'Positive': 0.032602258}"
Riga,"it's a stack of csn violation penalty forms, not a regular notebook.","{'Negative': 0.56711257, 'Neutral': 0.41551447, 'Positive': 0.017372927}"
Riga,"with the onset of warm weather, bicycle patrols resume their work in the center of riga.the most frequent parking violations in the csn center are delivery service providers who choose to park their vehicles on sidewalks and bike paths. it is also one of the control priorities.more:","{'Negative': 0.30451405, 'Neutral': 0.5836103, 'Positive': 0.111875616}"
Riga,"unfortunately, only can control the speed.","{'Negative': 0.6297492, 'Neutral': 0.34877983, 'Positive': 0.021471055}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from april to april .","{'Negative': 0.04114832, 'Neutral': 0.91324586, 'Positive': 0.04560589}"
Riga,good morning! penalties applied to cars on call.,"{'Negative': 0.07768142, 'Neutral': 0.563519, 'Positive': 0.3587996}"
Riga,"on friday, several people with sound-amplifying devices performed in the center of riga.in each situation, we discussed and checked the pers. data to prevent disruption of public order.at the same time, together with , we are working to create a regulation on the issue of street musicians.","{'Negative': 0.04822987, 'Neutral': 0.8400336, 'Positive': 0.11173658}"
Riga,have a nice holiday!,"{'Negative': 0.0024239086, 'Neutral': 0.019299684, 'Positive': 0.97827643}"
Riga,"during the campaign ""march - the month of a safer riga"" the safety of the urban environment was promoted; the most recorded violations in road traffic. more:","{'Negative': 0.20798673, 'Neutral': 0.628392, 'Positive': 0.16362135}"
Riga,"today, april , the riga municipal police was visited by students who had signed up for the shadow day and ""shadowed"" our employees in order to gain new knowledge and impressions about the daily work of the police in real life.","{'Negative': 0.018746959, 'Neutral': 0.8518498, 'Positive': 0.12940323}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from march to april .","{'Negative': 0.035141293, 'Neutral': 0.918433, 'Positive': 0.04642565}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from march to march .","{'Negative': 0.035872873, 'Neutral': 0.9182991, 'Positive': 0.045827974}"
Riga,"during the day, the police caught four stores for selling alcohol and tobacco products to a minor.eight administrative violation proceedings have been initiated at the scene. more:","{'Negative': 0.6005064, 'Neutral': 0.38341373, 'Positive': 0.016079836}"
Riga,"student, hurry! the rd round of application starts today. if you want to know how police officers take care of citizens' safety, we invite you to submit your application by march .search for rpp vacancies here: .","{'Negative': 0.089903235, 'Neutral': 0.710029, 'Positive': 0.2000677}"
Riga,today we accept the riga budget for . it is a special satisfaction that we have allocated a significant role in it to security &amp; order in the city! /5,"{'Negative': 0.004843337, 'Neutral': 0.13956968, 'Positive': 0.855587}"
Riga,such raids happen regularly. we can report with statistics at the end of the month or highlight one example and add information that such and such drivers were caught during the month.the purpose is to inform in order to preemptively prevent violations of parts.,"{'Negative': 0.21265022, 'Neutral': 0.7328291, 'Positive': 0.05452068}"
Riga,"during the last week, the municipal police received calls.data on the work of the riga municipality police were collected from march to march .","{'Negative': 0.035872873, 'Neutral': 0.9182991, 'Positive': 0.045827974}"
Riga,"thank you, we sent it to our staff for action","{'Negative': 0.00368579, 'Neutral': 0.2754962, 'Positive': 0.72081804}"
Riga,"municipal police catch impatient drivers in a raid with a drone.at the beginning of the ""safer riga month"", the municipal police have so far caught violators. more:","{'Negative': 0.27345872, 'Neutral': 0.6310396, 'Positive': 0.09550171}"
Riga,all messages received in the application are recorded in the same way as calls to .,"{'Negative': 0.039007816, 'Neutral': 0.9065966, 'Positive': 0.054395575}"
Riga,"for emotional and physical violence against his wife, the police in zolitude impose a restraining order on a man.in addition, two administrative violation proceedings have been initiated against the aggressor.read more:","{'Negative': 0.7239228, 'Neutral': 0.26859695, 'Positive': 0.007480213}"
Riga,"namely, it was said that additional h could be determined in which delivery transport can stop in the area of road sign . it was also discussed that amendments could be proposed, which would require delivery transport to stand in the area of designation (pictured), as it could use existing infrastructure.","{'Negative': 0.09669081, 'Neutral': 0.8425066, 'Positive': 0.060802616}"
Riga,"nothing like that is said in the release. during the meeting, other solutions were discussed in the context of expanding the permitted places.","{'Negative': 0.09017805, 'Neutral': 0.77269655, 'Positive': 0.1371254}"
Riga,"this is a article.the current situation is as follows: unfortunately, it hasn't changed for two and a half years.","{'Negative': 0.7381061, 'Neutral': 0.23680775, 'Positive': 0.02508626}"
