user,senti_text_processed,sentimenal_res
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,here i see a possible crime of incitement to commit a crime. let's remember that breaking and entering is not squatting. thank you.,"{'Negative': 0.4863486, 'Neutral': 0.45839903, 'Positive': 0.05525238}"
Madrid,ponzano .,"{'Negative': 0.2237315, 'Neutral': 0.62759286, 'Positive': 0.14867559}"
Madrid,here it runs to the mayor.,"{'Negative': 0.23599546, 'Neutral': 0.71536565, 'Positive': 0.04863891}"
Madrid,"thank you , the escort to our unit has been spectacular!!!! the transfer of seriously ill patients at a constant speed is extremely important and that we have arrived with the little one at the hospital quickly is vital. thank you!!!","{'Negative': 0.005958029, 'Neutral': 0.026343018, 'Positive': 0.967699}"
Madrid,"one ends up giving in.at % of them are illegal.no one, from any party, even cares.now comes , who ruled for years, and doesn't even investigate.there are only rabble and few committed people. they finish you off","{'Negative': 0.8986148, 'Neutral': 0.09409455, 'Positive': 0.0072905766}"
Madrid,ponzano .,"{'Negative': 0.2237315, 'Neutral': 0.62759286, 'Positive': 0.14867559}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,"you've been sharing the same video for a week, and it hurts to watch it. send it to","{'Negative': 0.9067349, 'Neutral': 0.08601236, 'Positive': 0.0072526955}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,where do people go?let's continue to give cars a free hand and that the continue to turn a blind eye to these behaviors.,"{'Negative': 0.43466502, 'Neutral': 0.51281905, 'Positive': 0.05251592}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,hit an -year-old boy on paseo de la rosaleda in . attends to the child with severe head injury and cardiac contusion. very seriously transferred to gregorio maran.the motorcyclist suffers orthopedic trauma. investigates.,"{'Negative': 0.7876876, 'Neutral': 0.19998993, 'Positive': 0.01232247}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,ponzano .,"{'Negative': 0.2237315, 'Neutral': 0.62759286, 'Positive': 0.14867559}"
Madrid,ponzano .,"{'Negative': 0.2237315, 'Neutral': 0.62759286, 'Positive': 0.14867559}"
Madrid,plaza arturo barea. today at a.m. we were woken up by the screams of drug addicts. tired of having to put up with this situation. help please,"{'Negative': 0.9508607, 'Neutral': 0.04525259, 'Positive': 0.0038866636}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,rt : ... is the time,"{'Negative': 0.09700453, 'Neutral': 0.78459036, 'Positive': 0.118405074}"
Madrid,"there is no complaint towards or who only do their job and for this reason there has not been one voice louder than another. but regarding and , how long do they think they will be able to continue deceiving?this is not a canton","{'Negative': 0.6231071, 'Neutral': 0.34789374, 'Positive': 0.028999122}"
Madrid,two workers have been injured after an interior wall has yielded in the works of a building in (san enrique street). has stabilized both of them and has transferred them to la paz. one of them is seriously ill.investigate the .,"{'Negative': 0.8414855, 'Neutral': 0.15054418, 'Positive': 0.007970353}"
Madrid,where do people go?let's continue to give cars a free hand and that the continue to turn a blind eye to these behaviors.,"{'Negative': 0.43466502, 'Neutral': 0.51281905, 'Positive': 0.05251592}"
Madrid,"one ends up giving in.at % of them are illegal.no one, from any party, even cares.now comes , who ruled for years, and doesn't even investigate.there are only rabble and few committed people. they finish you off","{'Negative': 0.8986148, 'Neutral': 0.09409455, 'Positive': 0.0072905766}"
Madrid,"there is no complaint towards or who only do their job and for this reason there has not been one voice louder than another. but regarding and , how long do they think they will be able to continue deceiving?this is not a canton","{'Negative': 0.6231071, 'Neutral': 0.34789374, 'Positive': 0.028999122}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,rt : ... is the time,"{'Negative': 0.09700453, 'Neutral': 0.78459036, 'Positive': 0.118405074}"
Madrid,companies profit from permission and activity noise pollution in the middle of the houses without responsibilities. why?,"{'Negative': 0.6126572, 'Neutral': 0.35922876, 'Positive': 0.028114038}"
Madrid,nerife,"{'Negative': 0.17013177, 'Neutral': 0.6855225, 'Positive': 0.14434569}"
Madrid,"walking objective insecurityi started by counting more than drug addicts in the lavapies street, then i saw a fight coming to tirso de molina and i ended at :47 p.m. with a fight between dealers in the lavapies square","{'Negative': 0.43374085, 'Neutral': 0.53745186, 'Positive': 0.0288073}"
Madrid,"hello, , . a cabify has tried to get me off the road several times on avda. amrica heading towards canillejas, i was on a motorcycle. i have his license plate and i suppose that everything will be seen in the cameras of the town hall. can you report?","{'Negative': 0.5076283, 'Neutral': 0.46355602, 'Positive': 0.02881569}"
Madrid,"and the transformation of premises into vut, which violate all regulations?? when is the activity agency going to deign to make a move??. or is the token called ""friend"" and that's why it's so difficult to move it??","{'Negative': 0.73694056, 'Neutral': 0.24927893, 'Positive': 0.0137805445}"
Madrid,"walking objective insecurityi started by counting more than drug addicts in the lavapies street, then i saw a fight coming to tirso de molina and i ended at :47 p.m. with a fight between dealers in the lavapies square","{'Negative': 0.43374085, 'Neutral': 0.53745186, 'Positive': 0.0288073}"
Madrid,"calle capitn blanco argibay with the same dirt as always and without any control or effective management!!! and ""the cubes"" blocking the zebra crossing","{'Negative': 0.7412845, 'Neutral': 0.24552089, 'Positive': 0.013194612}"
Madrid,"the should inspect these facilities the same as any other company, favoritism because???","{'Negative': 0.67007697, 'Neutral': 0.31624824, 'Positive': 0.013674791}"
