user,senti_text_processed,sentimenal_res
Berlin,"the , the last blockade has now been resolved. you for your patience.","{'Negative': 0.024209, 'Neutral': 0.58376974, 'Positive': 0.3920212}"
Berlin,rudolf wissell bridgeeberswalder str./schnhauser alleepuschkinallee/elsenstr.,"{'Negative': 0.10893026, 'Neutral': 0.8368988, 'Positive': 0.05417105}"
Berlin,forces have resolved most . there are still disadvantagesuschkinallee/elsenstr.eberswalder str./schnhauser alleebab rudolf wissell bridge,"{'Negative': 0.08215293, 'Neutral': 0.7822747, 'Positive': 0.13557231}"
Berlin,the rocket projectile was successfully detonated and the confinement circuit was broken.thank you for your understanding. no use for our -pressure waterjet cutting machine,"{'Negative': 0.06961756, 'Neutral': 0.36282012, 'Positive': 0.5675623}"
Berlin,"the war ii bomb in turned out to be a rocket projectile. a defusing was not possible.therefore, a controlled demolition will take place on site shortly.","{'Negative': 0.5122296, 'Neutral': 0.45862257, 'Positive': 0.02914778}"
Berlin,"s2: due to the defusing of a bomb in the area, train traffic between &lt;&gt; interrupted. unfortunately, replacement bus services cannot be offered due to the size and location of the restricted area.","{'Negative': 0.8944516, 'Neutral': 0.09973976, 'Positive': 0.0058085793}"
Berlin,"those in need of care have now been distributed to nearby hospitals. for our seg transport, this mission ended around :30 a.m. our seg support staff had already been replaced by comrades from . thank you all!","{'Negative': 0.05126979, 'Neutral': 0.52581257, 'Positive': 0.42291763}"
Berlin,"good morning to everyone who is waiting in to be able to return to their apartments, houses or workplaces.the measures for the war bomb are still ongoing and will not be completed in a timely manner.we ask for your patience.","{'Negative': 0.5499112, 'Neutral': 0.39317143, 'Positive': 0.05691739}"
Berlin,the evacuation of the restricted area is complete. with the help of our college. all residents have left the area. the emergency services are now also leaving him - except for our defusers. they start with the preparations.it can still take a few hours.,"{'Negative': 0.09824307, 'Neutral': 0.6711182, 'Positive': 0.23063874}"
Berlin,that is rather unlikely.,"{'Negative': 0.4469311, 'Neutral': 0.5110143, 'Positive': 0.042054605}"
Berlin,"we announced the find and location just before pm. in the event of an unplanned deployment, emergency services must first be alerted and instructed. they then carefully evacuate the entire blocking circuit.","{'Negative': 0.117484264, 'Neutral': 0.8233917, 'Positive': 0.05912413}"
