user,senti_text_processed,sentimenal_res
Bern,bern: traffic restrictions due to the grand prix of bern,"{'Negative': 0.282433, 'Neutral': 0.68813044, 'Positive': 0.029436516}"
Bern,"a siren alarm was sounded in zollbrck shortly after :15 p.m. it is a false alarm, there is no danger to the population. the responsible authorities have been called and are now clarifying the cause.","{'Negative': 0.3513088, 'Neutral': 0.5789124, 'Positive': 0.0697788}"
Bern,bern region: traffic control - car drivers displayed,"{'Negative': 0.14056201, 'Neutral': 0.8231558, 'Positive': 0.03628213}"
Bern,biel/call for witnesses: man injured after argument,"{'Negative': 0.6206879, 'Neutral': 0.370926, 'Positive': 0.008386086}"
Bern,bern: man found lifeless,"{'Negative': 0.8046435, 'Neutral': 0.18937565, 'Positive': 0.00598086}"
Bern,canton of bern: jubilee event of the honorary formation of the canton of bern,"{'Negative': 0.013875036, 'Neutral': 0.90922886, 'Positive': 0.076896116}"
Bern,the handlebar is swiss.,"{'Negative': 0.1558573, 'Neutral': 0.75674856, 'Positive': 0.08739419}"
Bern,we ask you to contact our operations center directly for such reports so that we can react promptly.,"{'Negative': 0.016276972, 'Neutral': 0.8346966, 'Positive': 0.14902645}"
Bern,villeret: man crashed into ravine and died,"{'Negative': 0.7893954, 'Neutral': 0.20315005, 'Positive': 0.007454572}"
Bern,a12 thrishaus: three traffic accidents in a row - four injured,"{'Negative': 0.8354756, 'Neutral': 0.15751624, 'Positive': 0.007008128}"
Bern,bern: early arrival for football games recommended,"{'Negative': 0.021308163, 'Neutral': 0.8339437, 'Positive': 0.14474809}"
Bern,gasel: car collided with train - three people injured,"{'Negative': 0.75547975, 'Neutral': 0.23513585, 'Positive': 0.009384325}"
Bern,heimisbach: car driver seriously injured after self-accident,"{'Negative': 0.821924, 'Neutral': 0.1723389, 'Positive': 0.005737043}"
Bern,hasliberg: man fatally injured in an accident at work,"{'Negative': 0.812046, 'Neutral': 0.18200536, 'Positive': 0.0059487144}"
Bern,a6 bern: car stopped after an escape drive driver arrested,"{'Negative': 0.26402617, 'Neutral': 0.7134182, 'Positive': 0.02255566}"
Bern,boll: victim of homicide identified - application for custody made,"{'Negative': 0.2737811, 'Neutral': 0.7114467, 'Positive': 0.014772186}"
Bern,boll: man died after being shot,"{'Negative': 0.8177629, 'Neutral': 0.17384492, 'Positive': 0.008392143}"
Bern,gmmenen: man died in an accident at work,"{'Negative': 0.8179678, 'Neutral': 0.17591704, 'Positive': 0.006115196}"
Bern,nidau/call for witnesses: adolescents were approached by a man and immorally touched,"{'Negative': 0.67838895, 'Neutral': 0.31472212, 'Positive': 0.006888913}"
Bern,bern/call for witnesses: two men injured in an argument,"{'Negative': 0.60788345, 'Neutral': 0.38463888, 'Positive': 0.007477721}"
Bern,boll: man in critical condition after being shot,"{'Negative': 0.7249147, 'Neutral': 0.26609892, 'Positive': 0.008986365}"
Bern,a6 deisswil b. mnchenbuchsee / witness call: car left the highway person recorded,"{'Negative': 0.15589088, 'Neutral': 0.81656647, 'Positive': 0.027542645}"
Bern,wynigen: man fatally injured during forestry work,"{'Negative': 0.8253405, 'Neutral': 0.16998409, 'Positive': 0.0046753925}"
Bern,a1 west bern: traffic accident on the autobahn - two injured,"{'Negative': 0.59120345, 'Neutral': 0.38744152, 'Positive': 0.021354988}"
Bern,lenk: skier died after an accident,"{'Negative': 0.7339882, 'Neutral': 0.2557704, 'Positive': 0.010241389}"
Bern,the cantonal police in bern also relies on electromobility for emergency vehicles - even if there are currently no teslas in our fleet,"{'Negative': 0.06204952, 'Neutral': 0.79062927, 'Positive': 0.14732122}"
Bern,"thank you, we have forwarded your message internally.","{'Negative': 0.0043886397, 'Neutral': 0.33445925, 'Positive': 0.6611521}"
Bern,tavannes: head-on collision - five people injured,"{'Negative': 0.70810354, 'Neutral': 0.27891228, 'Positive': 0.012984188}"
Bern,thun: car drivers reported - one vehicle secured,"{'Negative': 0.21734598, 'Neutral': 0.7499195, 'Positive': 0.032734584}"
Bern,bern: traffic restrictions on the occasion of a football game,"{'Negative': 0.22952357, 'Neutral': 0.7354026, 'Positive': 0.03507385}"
Bern,dotzigen: car left the road - driver injured,"{'Negative': 0.7190001, 'Neutral': 0.27210724, 'Positive': 0.008892664}"
Bern,albligen: arson investigation completed,"{'Negative': 0.19374806, 'Neutral': 0.7740598, 'Positive': 0.032192245}"
Bern,kaufdorf: investigations into the cause of the fire completed,"{'Negative': 0.23678853, 'Neutral': 0.7408022, 'Positive': 0.022409257}"
Bern,uettligen/call for witnesses: economic part destroyed in the fire,"{'Negative': 0.6648837, 'Neutral': 0.32628775, 'Positive': 0.00882854}"
Bern,zollbrck: flying sparks caused a fire,"{'Negative': 0.61203337, 'Neutral': 0.37581733, 'Positive': 0.012149293}"
Bern,converse sentence: fire investigation completed,"{'Negative': 0.1258295, 'Neutral': 0.8348061, 'Positive': 0.039364424}"
Bern,meikirch/call for witnesses: atm blown open perpetrators fleeting,"{'Negative': 0.39563534, 'Neutral': 0.5911531, 'Positive': 0.013211608}"
Bern,canton of bern: slight decrease in the number of traffic accidents in,"{'Negative': 0.15441547, 'Neutral': 0.78046036, 'Positive': 0.06512421}"
Bern,bern/call for witnesses: man injured after argument in bar,"{'Negative': 0.63575995, 'Neutral': 0.35713643, 'Positive': 0.00710355}"
Bern,herzogenbuchsee: car driver died after a traffic accident,"{'Negative': 0.88182193, 'Neutral': 0.1127954, 'Positive': 0.0053826584}"
Bern,bren zum hof: train derailed one person seriously injured,"{'Negative': 0.8073964, 'Neutral': 0.1854994, 'Positive': 0.0071041053}"
Bern,"in jegenstorf, a man was trapped and injured in a chicken coop. otherwise, the reports mainly related to trees blocking roads and falling onto vehicles, as well as fallen and flying objects. (2/2)","{'Negative': 0.7517703, 'Neutral': 0.23740149, 'Positive': 0.010828161}"
Bern,"rain and strong winds in the canton: between p.m. and p.m., our operations centers received over reports in connection with the storm. several people were injured in train accidents in lscherz and bren zum hof. (1/2)","{'Negative': 0.68132824, 'Neutral': 0.3000518, 'Positive': 0.018619888}"
Bern,"a person was trapped and injured in a chicken coop in jegenstorf. otherwise, the announcements mainly concerned fallen trees on roads and cars as well as objects having flown away. (2/2)","{'Negative': 0.6986042, 'Neutral': 0.28828847, 'Positive': 0.013107322}"
Bern,lscherz: railcar overturned - three people injured,"{'Negative': 0.7293677, 'Neutral': 0.26142788, 'Positive': 0.009204419}"
Bern,"in there is currently an operation due to a derailed rbs train. there are several injured, including at least one seriously injured person. part of an asm train derailed in . several people were also injured here. we will inform you again.","{'Negative': 0.721027, 'Neutral': 0.26187995, 'Positive': 0.01709308}"
