user,senti_text_processed,sentimenal_res
Stockholm,"for my daughters (and children) and their lawyers april ,","{'Negative': 0.08118434, 'Neutral': 0.82912964, 'Positive': 0.08968597}"
Stockholm,"for the cursed fascists-pedophiles of french and my daughters who conspired in my assassinations [to protect their mothers] with the breeders of my grandchildren (already persecuted) april , .","{'Negative': 0.87297046, 'Neutral': 0.12134826, 'Positive': 0.005681242}"
Stockholm,"april , law and procedure a doctor and a lawyer and come with my children. for french judges emergency","{'Negative': 0.11993942, 'Neutral': 0.83205944, 'Positive': 0.048001148}"
Stockholm,my life and those of my children and small children in danger of death because of you emergency i am in lille persecuted by judges prosecutors and police contact the caf sarazin in lille france wazemmes rue saintrockt rue sarrasin ask my children,"{'Negative': 0.85443246, 'Neutral': 0.14114869, 'Positive': 0.0044188253}"
Stockholm,"i ask you to end the persecution of pedophiles and criminals the what we are facing with my children in lille, france by the french state","{'Negative': 0.91804737, 'Neutral': 0.07796318, 'Positive': 0.0039894814}"
Stockholm,i ask you to put my life and those of my children in safety :16 in emergency,"{'Negative': 0.09653938, 'Neutral': 0.75628287, 'Positive': 0.14717773}"
Stockholm,why did the police allow to break up into smaller groups?their rights are fulfilled when they get their case in town. giving them the chance to interfere more than necessary is just strange.,"{'Negative': 0.76205224, 'Neutral': 0.2261982, 'Positive': 0.011749561}"
Stockholm,"when kakan himself gets to choose - damn rant about dead copstwo executed policementwo neck shotswives and children..so fucking tragic when kakan calls , don't answer, promise","{'Negative': 0.96603405, 'Neutral': 0.030878687, 'Positive': 0.0030872384}"
Stockholm,why did the police allow to break up into smaller groups?their rights are fulfilled when they get their case in town. giving them the chance to interfere more than necessary is just strange.,"{'Negative': 0.76205224, 'Neutral': 0.2261982, 'Positive': 0.011749561}"
Stockholm,why did the police allow to break up into smaller groups?their rights are fulfilled when they get their case in town. giving them the chance to interfere more than necessary is just strange.,"{'Negative': 0.76205224, 'Neutral': 0.2261982, 'Positive': 0.011749561}"
Stockholm,":10&gt;20 emergency pedophiles prosecutors and police in the marketplace, in conspiration of my kidnapping and murders [witnesses (insider) and market cameras april , emergency https: / /","{'Negative': 0.53260213, 'Neutral': 0.44717577, 'Positive': 0.020222088}"
Stockholm,to go on a pilgrimage in caravan (hopely with great friends) this is what i came,"{'Negative': 0.0049853856, 'Neutral': 0.18911444, 'Positive': 0.8059002}"
Stockholm,friends from the faculty of economics at stockholm university i would like to present my card games,"{'Negative': 0.0044720536, 'Neutral': 0.6231742, 'Positive': 0.37235376}"
Stockholm,friends from the economics department at stockholm university i would like to present my economics papers,"{'Negative': 0.0038118656, 'Neutral': 0.5646347, 'Positive': 0.4315534}"
Stockholm,", how do you think you should be recognized?","{'Negative': 0.18921635, 'Neutral': 0.7803264, 'Positive': 0.030457195}"
Stockholm,abierta a sm felipe vi,"{'Negative': 0.11045501, 'Neutral': 0.80018073, 'Positive': 0.08936426}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"have you tried contacting henry_hack2 on instagram, he is one hell of a tracker. helped me recover my bike last week...","{'Negative': 0.003948946, 'Neutral': 0.09822002, 'Positive': 0.8978311}"
Stockholm,don't get me started. i've been the victim of fraud and the story feels like a monty python sketch.,"{'Negative': 0.93256885, 'Neutral': 0.0632156, 'Positive': 0.004215462}"
Stockholm,"will decide if they can/want to send a police car. i asked twice if they really proposed this solution and the police woman confirmed. i guess this means the bike is gone though i know exactly where it is. so, why do i have to do your job for you?","{'Negative': 0.45948458, 'Neutral': 0.48870432, 'Positive': 0.051811114}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"have you tried contacting henry_hack2 on instagram, he is one hell of a tracker. helped me recover my bike last week...","{'Negative': 0.003948946, 'Neutral': 0.09822002, 'Positive': 0.8978311}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"fun story about : my e-bike (cost sek) was stolen this weekend. but hey! no problem, cause it has a gps anti-theft system, so i know exactly where it has been and where it is. cool, right? well, the police wants me to go there, alone, and check that the bike","{'Negative': 0.09963018, 'Neutral': 0.33843562, 'Positive': 0.56193423}"
Stockholm,"guards did exactly the right thing. when it hurts, they will stop gluing their hands togetherif you dare to do the same, they will stopbut if any of you start petting that group again, they will continueits up to you now, your move","{'Negative': 0.4127354, 'Neutral': 0.48335615, 'Positive': 0.103908494}"
Stockholm,rt : thbt shkhyt br ss qnwn mjzt brkhy jry'm bynlmlly dr swy'd ...filing a complaint based on the criminal law of certain international crimes in sweden,"{'Negative': 0.38397643, 'Neutral': 0.59812653, 'Positive': 0.017897109}"
Stockholm,"again, the police incorrectly refer to the unlawful invasion of privacy provision. it is problematic when such an incorrect picture of the provision is repeatedly spread in the media and by the police. ://","{'Negative': 0.9199377, 'Neutral': 0.07475948, 'Positive': 0.005302852}"
Stockholm,"again, the police incorrectly refer to the unlawful invasion of privacy provision. it is problematic when such an incorrect picture of the provision is repeatedly spread in the media and by the police. ://","{'Negative': 0.9199377, 'Neutral': 0.07475948, 'Positive': 0.005302852}"
Stockholm,"again, the police incorrectly refer to the unlawful invasion of privacy provision. it is problematic when such an incorrect picture of the provision is repeatedly spread in the media and by the police. ://","{'Negative': 0.9199377, 'Neutral': 0.07475948, 'Positive': 0.005302852}"
Stockholm,"again, the police incorrectly refer to the unlawful invasion of privacy provision. it is problematic when such an incorrect picture of the provision is repeatedly spread in the media and by the police. ://","{'Negative': 0.9199377, 'Neutral': 0.07475948, 'Positive': 0.005302852}"
Stockholm,"again, the police incorrectly refer to the unlawful invasion of privacy provision. it is problematic when such an incorrect picture of the provision is repeatedly spread in the media and by the police. ://","{'Negative': 0.9199377, 'Neutral': 0.07475948, 'Positive': 0.005302852}"
Stockholm,rt : welcome to this webinar th april! thanks for sharing the invitation! ...welcome to this webinar th april! thanks for sharing the invitation!,"{'Negative': 0.0008380744, 'Neutral': 0.013730539, 'Positive': 0.98543143}"
Stockholm,"i ask you to put an end to the persecution and pedophiles of the judges of lille france in emergency with my children in danger of death emergency april , :04 emergency /qs6clquacx","{'Negative': 0.832982, 'Neutral': 0.15843366, 'Positive': 0.008584301}"
Stockholm,rt : welcome to this webinar th april! thanks for sharing the invitation! ...welcome to this webinar th april! thanks for sharing the invitation!,"{'Negative': 0.0008380744, 'Neutral': 0.013730539, 'Positive': 0.98543143}"
Stockholm,parte profesional de mi vida,"{'Negative': 0.11579854, 'Neutral': 0.77155775, 'Positive': 0.11264369}"
Stockholm,( futuro) parte humana,"{'Negative': 0.10455724, 'Neutral': 0.83805686, 'Positive': 0.057385955}"
Stockholm,- estoy a su servicio-busco apartamento en ny,"{'Negative': 0.07924215, 'Neutral': 0.8524019, 'Positive': 0.06835596}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,swe you medsaving lives protecting honors,"{'Negative': 0.037738245, 'Neutral': 0.43892023, 'Positive': 0.52334154}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,"it was an inconsiderate comment from her. i also wonder where she got the idea that many of her colleagues think we should ""take shit"".","{'Negative': 0.85320234, 'Neutral': 0.1369804, 'Positive': 0.009817171}"
Stockholm,"it was an inconsiderate comment from her. i also wonder where she got the idea that many of her colleagues think we should ""take shit"".","{'Negative': 0.85320234, 'Neutral': 0.1369804, 'Positive': 0.009817171}"
Stockholm,"appropriate way of expressing yourself by your employees? ""yes, they had a taste, you would have liked them"" mostly reacts to her writing them..","{'Negative': 0.04288482, 'Neutral': 0.6037083, 'Positive': 0.35340688}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,"appropriate way of expressing yourself by your employees? ""yes, they had a taste, you would have liked them"" mostly reacts to her writing them..","{'Negative': 0.04288482, 'Neutral': 0.6037083, 'Positive': 0.35340688}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,"""for me it would be an honor if tevol soccer were to be used as an instrument of cohesion, twinning and diplomacy""","{'Negative': 0.003346237, 'Neutral': 0.16650093, 'Positive': 0.8301528}"
Stockholm,", peace!!gracias, thank you!","{'Negative': 0.0016290215, 'Neutral': 0.030654147, 'Positive': 0.9677169}"
Stockholm,why isn't it zero tolerance ?why don't you help and throw out the dregs?,"{'Negative': 0.8093608, 'Neutral': 0.18103628, 'Positive': 0.009602872}"
Stockholm,hrkvdkaubm,"{'Negative': 0.2544236, 'Neutral': 0.5817784, 'Positive': 0.16379794}"
Stockholm,why isn't it zero tolerance ?why don't you help and throw out the dregs?,"{'Negative': 0.8093608, 'Neutral': 0.18103628, 'Positive': 0.009602872}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"""51 of them saw their mother get killed. several of the children tried to intervene.""heartbreaking about the reality of women and children. markus antonsson from talks about the igor project at .","{'Negative': 0.84714603, 'Neutral': 0.14526668, 'Positive': 0.0075871586}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"rt : so it is - if are not interested in defending the form of government, who will?and...that's how it is - if is not interested in defending the form of government, who will?and what happens then?the question requires an answer from ffa but also","{'Negative': 0.3936566, 'Neutral': 0.5784934, 'Positive': 0.027849942}"
Stockholm,"if this turns out to be true, then sweden will no longer exist. then the rule of law or respect for democracy no longer exists.resign all isf, even the tjm within who bowed to the pressure.","{'Negative': 0.85780036, 'Neutral': 0.13549379, 'Positive': 0.006705839}"
Stockholm,the police approved the application in and allocated space at fridhemstorget malm but after complaints from residents it was moved to stortorget. but eventually that too was banned and paludan was stopped at the border.,"{'Negative': 0.36667737, 'Neutral': 0.5936706, 'Positive': 0.039651927}"
Stockholm,"if this turns out to be true, then sweden will no longer exist. then the rule of law or respect for democracy no longer exists.resign all isf, even the tjm within who bowed to the pressure.","{'Negative': 0.85780036, 'Neutral': 0.13549379, 'Positive': 0.006705839}"
Stockholm,"seriously, is anyone surprised? they denied paludan (swedish citizen) entry into sweden, without legitimate or specific reason. % illegal. how many is terrorists have been let in? take stock, even if it's far too late.","{'Negative': 0.8387502, 'Neutral': 0.15390576, 'Positive': 0.0073439875}"
Stockholm,"it just gets worse and worse. sd is absolutely right, even if it hurts too many. with threats of riots and vandalism, some muslims go very far in sweden. the left closes its eyes really hard and mostly tries to control the problems. why?the same ""problem"" exists in almost the entire eu.","{'Negative': 0.92072433, 'Neutral': 0.07377834, 'Positive': 0.005497327}"
Stockholm,"seriously, is anyone surprised? they denied paludan (swedish citizen) entry into sweden, without legitimate or specific reason. % illegal. how many is terrorists have been let in? take stock, even if it's far too late.","{'Negative': 0.8387502, 'Neutral': 0.15390576, 'Positive': 0.0073439875}"
Stockholm,"if this turns out to be true, then sweden will no longer exist. then the rule of law or respect for democracy no longer exists.resign all isf, even the tjm within who bowed to the pressure.","{'Negative': 0.85780036, 'Neutral': 0.13549379, 'Positive': 0.006705839}"
Stockholm,"it just gets worse and worse. sd is absolutely right, even if it hurts too many. with threats of riots and vandalism, some muslims go very far in sweden. the left closes its eyes really hard and mostly tries to control the problems. why?the same ""problem"" exists in almost the entire eu.","{'Negative': 0.92072433, 'Neutral': 0.07377834, 'Positive': 0.005497327}"
Stockholm,"it just gets worse and worse. sd is absolutely right, even if it hurts too many. with threats of riots and vandalism, some muslims go very far in sweden. the left closes its eyes really hard and mostly tries to control the problems. why?the same ""problem"" exists in almost the entire eu.","{'Negative': 0.92072433, 'Neutral': 0.07377834, 'Positive': 0.005497327}"
Stockholm,"ouch. if this is true, every single person involved, regardless of position and role (including responsible politicians) should be fired. sweden really has problems if the information is correct.","{'Negative': 0.87648076, 'Neutral': 0.1165254, 'Positive': 0.0069939205}"
Stockholm,this is completely true! dismiss the police leadership with mediocre effect!,"{'Negative': 0.5797613, 'Neutral': 0.32989368, 'Positive': 0.09034499}"
