user,senti_text_processed,sentimenal_res
Riga,and when do those scumbags who do this have problems? too much free time and money.,"{'Negative': 0.9521925, 'Neutral': 0.04412882, 'Positive': 0.0036787775}"
Riga,"riga has become a baking mecca in the last -3 years. if warsaw was a big problem before, now it is already a long time ago. especially bras, the neighborhood of springs","{'Negative': 0.37412032, 'Neutral': 0.49496645, 'Positive': 0.1309133}"
Riga,i like for example italy everything is black and looks dope,"{'Negative': 0.008291937, 'Neutral': 0.09843355, 'Positive': 0.89327455}"
Riga,"thank you. i hope, however, that the abnormal will be caught.","{'Negative': 0.042013302, 'Neutral': 0.37187624, 'Positive': 0.5861104}"
Riga,"thanks for the reply, but what does the recall mean? is that what?","{'Negative': 0.020445973, 'Neutral': 0.7680534, 'Positive': 0.21150061}"
Riga,"in all cases when i had to meet rpp employees, i was pleasantly surprised by their professionalism and positive attitude. thank you!","{'Negative': 0.0017086728, 'Neutral': 0.014183963, 'Positive': 0.9841074}"
Riga,"maybe don't do anything so that the new generation with their protest will live in the old and neglected city. after a couple of lost generations, maybe people will say to underestimate the unfamiliar environment?","{'Negative': 0.6852058, 'Neutral': 0.2922051, 'Positive': 0.022589043}"
Riga,the riga city council is not capable of imposing fines on a car that has been parked incorrectly all day and here they can get a -minute penalty? smile at someone else.,"{'Negative': 0.9419953, 'Neutral': 0.054521978, 'Positive': 0.0034827413}"
Riga,"make riga street culture friendly. would attract a greater number of young people to the city (from abroad), would create rich social soil in riga! etc.","{'Negative': 0.0021694957, 'Neutral': 0.11505476, 'Positive': 0.8827757}"
Riga,"otradi, that clown from cesim, who is the vest","{'Negative': 0.5816536, 'Neutral': 0.39683104, 'Positive': 0.021515371}"
Riga,said a peasant about a state police officer?,"{'Negative': 0.48688608, 'Neutral': 0.49872398, 'Positive': 0.014389985}"
Riga,there are still some who have side effects with the kit...,"{'Negative': 0.5294907, 'Neutral': 0.44948184, 'Positive': 0.0210275}"
Riga,"izradas is also full of militiamengathered the peasants, and explained that there is no village here","{'Negative': 0.429191, 'Neutral': 0.53705835, 'Positive': 0.033750646}"
Riga,"my mistake, i had imagined something, doesn't allow such discussions, both institutions are full of serifs. but thanks for pointing out the visual difference as well.","{'Negative': 0.5067709, 'Neutral': 0.4225455, 'Positive': 0.070683606}"
Riga,where is it?,"{'Negative': 0.16861078, 'Neutral': 0.69288224, 'Positive': 0.13850701}"
Riga,and who doesn't distinguish between rpp and vp...,"{'Negative': 0.3161602, 'Neutral': 0.6419433, 'Positive': 0.04189655}"
Riga,it's good that the police are working as arborists and will tell you right away if the tree is bad or not and then you worry that the police will arrive after hours because they had to take pictures of the trees,"{'Negative': 0.21117237, 'Neutral': 0.45459422, 'Positive': 0.33423337}"
Riga,"you can find better places for that, not the sadi center. if you want graffiti areas or walls, then you can go for it and negotiate with the city. this is known as vandalism.","{'Negative': 0.49383864, 'Neutral': 0.46493462, 'Positive': 0.04122681}"
Riga,"i'll never understand that mentality to bake new things. what stupid scribblers, there's nothing even that pretty.","{'Negative': 0.9450758, 'Neutral': 0.04776074, 'Positive': 0.0071635437}"
Riga,", what a mess! , maybe you're training privates before you release serifs on the street, you're different and you look out of place!","{'Negative': 0.91274095, 'Neutral': 0.08034566, 'Positive': 0.006913375}"
Riga,we found one kepataj?!,"{'Negative': 0.0175386, 'Neutral': 0.634798, 'Positive': 0.34766343}"
Riga,"if any graffiti artist is reading this, they know what you're up to is not good. glitis is graffiti on a specific wall, which can be discussed with the owner, where a large graffiti is drawn with a touch of the cheek. all these pastries are herna","{'Negative': 0.8501606, 'Neutral': 0.13955493, 'Positive': 0.010284511}"
Riga,"laughed, can't deal with a car parked on the sidewalk and bike lane, it seems that there are no resources. will you put scooters here?","{'Negative': 0.80285954, 'Neutral': 0.17365752, 'Positive': 0.023482937}"
Riga,"well yes! it is always interesting to read what is written, which letters, how high, when sharp, how noticeable. i love graffiti and everything related to it!","{'Negative': 0.003124644, 'Neutral': 0.024408445, 'Positive': 0.97246695}"
Riga,tada is any protest booth. you disrupt the comfort of those who are comfortable to draw attention to your problem.,"{'Negative': 0.8018574, 'Neutral': 0.18762058, 'Positive': 0.010522053}"
Riga,cameras,"{'Negative': 0.22853611, 'Neutral': 0.6410864, 'Positive': 0.13037752}"
Riga,"interesting form of protest, destroy other's work and make everyone live in a pristine environment","{'Negative': 0.73409134, 'Neutral': 0.24076219, 'Positive': 0.02514644}"
Riga,cameras and order passports to remove sastradato,"{'Negative': 0.2340946, 'Neutral': 0.74428606, 'Positive': 0.021619324}"
Riga,could you see the funeral that you get to the sum of sis?,"{'Negative': 0.2037765, 'Neutral': 0.773286, 'Positive': 0.02293753}"
Riga,"pag, do you like tags? what about the court?","{'Negative': 0.07496947, 'Neutral': 0.8899125, 'Positive': 0.03511805}"
Riga,"riga traffic lifts are often rented out to subservices, so they can just as well be arborists who do pruning so as not to interfere with the safety of the contact network.","{'Negative': 0.21044861, 'Neutral': 0.7399273, 'Positive': 0.04962409}"
Riga,says the young ones have more to lose...,"{'Negative': 0.53274447, 'Neutral': 0.43794015, 'Positive': 0.029315425}"
Riga,"speak the language of the courts, you should turn the remaining roadway into a sidewalk and close the street to cars.","{'Negative': 0.19246317, 'Neutral': 0.77857286, 'Positive': 0.028963873}"
Riga,"""the trees are frozen, so they die, just like the free street""","{'Negative': 0.6496776, 'Neutral': 0.32374135, 'Positive': 0.026581062}"
Riga,"if you work honestly, an arborist consultation would be enough. that's a lot of money to spend on maintenance. (our money)","{'Negative': 0.4404384, 'Neutral': 0.45898414, 'Positive': 0.100577496}"
Riga,"i like it! enlivens the environment and has something to look at. what's more - that street was closed for half a year without any guards or cameras, what do you want!","{'Negative': 0.0564356, 'Neutral': 0.24482308, 'Positive': 0.6987414}"
Riga,"mm, graffiti expert studio! tell me, what is graffiti? the fact that street-art is quite popular does not mean that it is graffiti. graffiti is tagging, tagging your name on the wall, not pretty signs.","{'Negative': 0.44671676, 'Neutral': 0.48134813, 'Positive': 0.07193513}"
Riga,it is if it falls. public works support,"{'Negative': 0.13469626, 'Neutral': 0.7592438, 'Positive': 0.10605997}"
Riga,"i want to remind you that from the point of view of social anthropology, a large amount of graffiti shows that the territory has no owner. or he does not control the territory. i was just in new york, and in the ""normal"" areas of the city, there is no graffiti (the understanding of cookies) at all.","{'Negative': 0.31197852, 'Neutral': 0.63030756, 'Positive': 0.057713926}"
Riga,"video cameras, social work like washing/painting cookies, all expenses are covered by the baker","{'Negative': 0.07530866, 'Neutral': 0.8599227, 'Positive': 0.0647687}"
Riga,the micro-restriction of the guard of the alleys (i don't know if the visible place is correctly depicted).,"{'Negative': 0.38699278, 'Neutral': 0.5792064, 'Positive': 0.03380083}"
Riga,feel free to write an e-mail if it works,"{'Negative': 0.008400961, 'Neutral': 0.49266422, 'Positive': 0.4989348}"
Riga,will probably write to those passport inspectors about it,"{'Negative': 0.045192633, 'Neutral': 0.91474664, 'Positive': 0.040060766}"
Riga,"i already called , i can't call the environmental department.","{'Negative': 0.46563008, 'Neutral': 0.49448642, 'Positive': 0.03988352}"
Riga,this is not graffiti. they are tags,"{'Negative': 0.35001788, 'Neutral': 0.5877173, 'Positive': 0.062264808}"
Riga,and definitely fix thick roots that have been cut off.,"{'Negative': 0.42416516, 'Neutral': 0.5362182, 'Positive': 0.039616574}"
Riga,which year's . mk regulations?,"{'Negative': 0.12100245, 'Neutral': 0.8445271, 'Positive': 0.034470346}"
Riga,"definitely call the rpp and environmental control department, i invite you to contact one of the main vegetation inspectors:","{'Negative': 0.018661706, 'Neutral': 0.60265726, 'Positive': 0.37868103}"
Riga,peace. linden trees will survive.,"{'Negative': 0.017307607, 'Neutral': 0.4262986, 'Positive': 0.5563938}"
Riga,and why can't the pipes be dug somewhere other than on the roadway?,"{'Negative': 0.5753857, 'Neutral': 0.4107057, 'Positive': 0.0139085995}"
Riga,cameras and big fines.,"{'Negative': 0.3837227, 'Neutral': 0.55694896, 'Positive': 0.059328366}"
Riga,"these are the cooking that degrades the surrounding environment. riga del looks like one big ghetto to them. people, we will not be indifferent if we see beaten idiots! mobile phones for everyone, video recorders for many, we film and help to get rid of our rig! we must be punished for roasting in the desert.","{'Negative': 0.9382453, 'Neutral': 0.056060497, 'Positive': 0.005694301}"
Riga,"use other methods. there are special tools that can be used without damaging the roots. those trees cost hundreds of thousands of euros, for that money you can do cartigi works.","{'Negative': 0.21651766, 'Neutral': 0.58808386, 'Positive': 0.19539845}"
Riga,suggestions? live without sewage?,"{'Negative': 0.16214406, 'Neutral': 0.7894813, 'Positive': 0.04837462}"
Riga,"question, has anyone done it? and what will happen if after a while you break the pavement and you are told to dig there? will anyone notice that the other half of the roots are gone? and then you can shout again that the trees in the city are safe. bistami are idiots who let sadi stradat!","{'Negative': 0.6983868, 'Neutral': 0.26946172, 'Positive': 0.032151505}"
Riga,"gaujas iela , brasa bridge. do you know if are certified arborists who can take care of trees?","{'Negative': 0.034662038, 'Neutral': 0.9143418, 'Positive': 0.050996114}"
Riga,what are they doing there? your mash area,"{'Negative': 0.0715876, 'Neutral': 0.89261836, 'Positive': 0.03579397}"
Riga,"koknese prospect again chooses the easiest cell. gays can wait. , please remind me about regulations of the cabinet of ministers!","{'Negative': 0.18495771, 'Neutral': 0.6541843, 'Positive': 0.16085802}"
Riga,"linden trees. if it has an injury (reduces) the root system, then it is better to carry out crown pruning. and continues to grow exponentially. resistance to injury is one of the advantages of linden trees. recommended urban environment.","{'Negative': 0.04290879, 'Neutral': 0.318848, 'Positive': 0.6382432}"
Riga,"it is a protest of a new generation against the dictates of an old generation. the more you have it, the greater the joy for them.","{'Negative': 0.03869654, 'Neutral': 0.2717614, 'Positive': 0.6895421}"
Riga,"tree alley of koknese prospect. do you know how long these trees will be there, after these works with heavy equipment to cm from the trunk?","{'Negative': 0.09116566, 'Neutral': 0.8758517, 'Positive': 0.032982636}"
Riga,"straight people make you beautiful, without them it's more ""ideal"", cities without graffiti are scary, it means that there is no cartiba","{'Negative': 0.32626325, 'Neutral': 0.42107186, 'Positive': 0.25266483}"
Riga,"it's not graffiti! it is some kind of description of sical territories. one appears - look, and already ntie next to it.","{'Negative': 0.19658343, 'Neutral': 0.6862919, 'Positive': 0.11712473}"
Riga,"some time ago there were rumors that rd was a plan, but lkm. there was no mention of it anywhere.","{'Negative': 0.30971885, 'Neutral': 0.66255057, 'Positive': 0.027730541}"
Riga,i % support the fight against these cripples with a spray drum! i would like to cut off my fingers!,"{'Negative': 0.792189, 'Neutral': 0.17160207, 'Positive': 0.03620892}"
Riga,better graffiti than braces murals,"{'Negative': 0.34541318, 'Neutral': 0.5543476, 'Positive': 0.10023919}"
Riga,yap.. nutrition.. and nutrition!!!,"{'Negative': 0.0389172, 'Neutral': 0.553759, 'Positive': 0.4073238}"
Riga,"i doubt that this is the case (but maybe i'm wrong).gertrude street is generally quite a dull sight: it seems like a beautiful, barely renovated street, but there is graffiti on every bench and pot, it already looks thoroughly degraded.","{'Negative': 0.7619999, 'Neutral': 0.19411391, 'Positive': 0.043886244}"
Riga,theoretically if anti-graffiti is applied strongly... then it can come off,"{'Negative': 0.39634982, 'Neutral': 0.5745027, 'Positive': 0.029147495}"
Riga,"gertrudes street has not even been put into operation yet, so half of the new improvement is already covered with graffiti.does the city council have any plan to deal with this kind of vandalism?","{'Negative': 0.85373265, 'Neutral': 0.13670532, 'Positive': 0.009561958}"
Riga,work cp collaborated with,"{'Negative': 0.038614526, 'Neutral': 0.8709024, 'Positive': 0.090483055}"
