user,senti_text_processed,sentimenal_res
Helsinki,"the police forbade the director virpi suatari from filming the sawing, when and the forest shop protestors were removed from the three-legged poles. in helsinki's messages, the police justified the ban by referring to the police's ""technical and tactical methods"".","{'Negative': 0.45814437, 'Neutral': 0.5228446, 'Positive': 0.019011026}"
Helsinki,"the moment when the helsingin police closes comments and hides answers praising the police.by the way, can we bet the euro that the management of the tweet in question is managed by a certain gentleman? no one else would act like that.","{'Negative': 0.5084477, 'Neutral': 0.4357671, 'Positive': 0.05578513}"
Helsinki,those comments are so bad that the helsinki police had to hide them,"{'Negative': 0.95925224, 'Neutral': 0.03861217, 'Positive': 0.002135683}"
Helsinki,"by the way, has anyone other than the police noticed that ""there would always be a high risk of violence in demonstrations (in finland) with opposing swordsmen"", as porola of the helsinki police said on independence day?","{'Negative': 0.64717233, 'Neutral': 0.34232676, 'Positive': 0.010500992}"
Helsinki,"helsingin police and will tell you that ""hate speech"" is what is disturbing. customs has never once demanded any kind of rights or safety for finnish young finnish children. always only niggers this and niggers that","{'Negative': 0.92762667, 'Neutral': 0.06798672, 'Positive': 0.0043865414}"
Helsinki,hi jari! will the helsinki police investigate this case:,"{'Negative': 0.09967217, 'Neutral': 0.86791784, 'Positive': 0.032410093}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,"rt : the moment when the helsinki police closes comments and hides replies praising the police.can we by the way eu...the moment when the helsinki police closes comments and hides replies praising the police.by the way, let's bet the euro that some snot-headed gentleman is responsible for managing the tweet in question? no one else would act like this.","{'Negative': 0.66206855, 'Neutral': 0.29885694, 'Positive': 0.039074425}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,"rt : the moment when the helsinki police closes comments and hides replies praising the police.can we by the way eu...the moment when the helsinki police closes comments and hides replies praising the police.by the way, let's bet the euro that some snot-headed gentleman is responsible for managing the tweet in question? no one else would act like this.","{'Negative': 0.66206855, 'Neutral': 0.29885694, 'Positive': 0.039074425}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,eggless troublemakers: helsinki police blocked commenting when citizens gave dangerous opinions. also hide the comments of speech,"{'Negative': 0.81769913, 'Neutral': 0.17485592, 'Positive': 0.0074449405}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,rt : those comments are so bad that the helsinki police had to hide themthese comments are so bad that the helsinki police decided to hide them,"{'Negative': 0.9634743, 'Neutral': 0.034201976, 'Positive': 0.0023237783}"
Helsinki,"rt : the moment when the helsinki police closes comments and hides replies praising the police.can we by the way eu...the moment when the helsinki police closes comments and hides replies praising the police.by the way, let's bet the euro that some snot-headed gentleman is responsible for managing the tweet in question? no one else would act like this.","{'Negative': 0.66206855, 'Neutral': 0.29885694, 'Positive': 0.039074425}"
Helsinki,helsingin police blocked the commenters even though the comments were encouraging. quite strange.,"{'Negative': 0.47102264, 'Neutral': 0.43835497, 'Positive': 0.09062236}"
