user,senti_text_processed,sentimenal_res
Vienna,drug dealer.,"{'Negative': 0.61226255, 'Neutral': 0.3542828, 'Positive': 0.033454623}"
Vienna,"in the nd mention of employees d. speech. and apart from that: we often use ""authority language"" because more common expressions have certain connotations: ""drug dealer"" is certainly more everyday language, but not really suitable for an authority in terms of communication.","{'Negative': 0.5294597, 'Neutral': 0.42870864, 'Positive': 0.041831695}"
Vienna,"you're a bit offended at us about sunday, aren't you? of course, we have mobile forces that roam near neuralgic points. that's why we're on site within a few minutes of the start of a blockade.","{'Negative': 0.53091127, 'Neutral': 0.42942053, 'Positive': 0.039668214}"
Vienna,but you know this expression.,"{'Negative': 0.16300654, 'Neutral': 0.7373317, 'Positive': 0.09966174}"
Vienna,a parking enforcement officer was injured yesterday while attaching a wheel clamp to a vehicle. the owner got into the vehicle and drove off because he did not want the two pg employees to have noticed. releases:,"{'Negative': 0.80427706, 'Neutral': 0.18658209, 'Positive': 0.009140844}"
Vienna,"the activists will meet with the media at an agreed location. these are then taken to the actual location of the blockade via detours (underground trains in different directions, etc.), i.e. they only know at the last moment where the blockade will take place.","{'Negative': 0.10264208, 'Neutral': 0.85847473, 'Positive': 0.038883183}"
Vienna,because so far it has almost exclusively been administrative violations - and criminal law does not apply to them.,"{'Negative': 0.7834464, 'Neutral': 0.20754643, 'Positive': 0.009007175}"
Vienna,dismount and push meters.,"{'Negative': 0.13023184, 'Neutral': 0.7300419, 'Positive': 0.1397262}"
Vienna,"it's not usual. you might have parked the radio truck somewhere else, you're right. only: cyclists can avoid this situation relatively easily.","{'Negative': 0.1855596, 'Neutral': 0.5636015, 'Positive': 0.2508389}"
Vienna,update: all three locations are freely accessible again.,"{'Negative': 0.0033457996, 'Neutral': 0.23317146, 'Positive': 0.76348275}"
Vienna,"fear not, but expect delays:","{'Negative': 0.2773457, 'Neutral': 0.6354847, 'Positive': 0.08716961}"
Vienna,there are currently improperly displayed meetings in the areachttelstrae/franzensbrcke inner mariahilfer gurtel at westbahnhof donaukanalstrae at the height of the spittelau waste incineration plantwe are already there.,"{'Negative': 0.28737018, 'Neutral': 0.6585225, 'Positive': 0.054107323}"
Vienna,we've mentioned it on previous occasions - but by now it should be common knowledge what kind of gatherings are meant (especially at the specific time).,"{'Negative': 0.040691126, 'Neutral': 0.83956593, 'Positive': 0.1197429}"
Vienna,control,"{'Negative': 0.2372838, 'Neutral': 0.60823685, 'Positive': 0.1544794}"
Vienna,"neither one nor the other question relates to a police area of responsibility, sorry.","{'Negative': 0.51842535, 'Neutral': 0.45563468, 'Positive': 0.025940016}"
Vienna,"it's not ""freedom of assembly blabla"", but the applicable legal situation to which we are bound and which we implement.","{'Negative': 0.13320358, 'Neutral': 0.8297881, 'Positive': 0.03700831}"
Vienna,we were here as part of a manhunt.,"{'Negative': 0.2659404, 'Neutral': 0.71181333, 'Positive': 0.022246255}"
Vienna,thank you for your kind and appreciative words!,"{'Negative': 0.0012089029, 'Neutral': 0.010014878, 'Positive': 0.98877615}"
Vienna,"if we take pictures of parking lots or the like. received, we refer to our colleagues at a police station so that a report can be filed there upon request.","{'Negative': 0.13085864, 'Neutral': 0.8365834, 'Positive': 0.032557946}"
Vienna,"we cannot intervene on site via twitter, so please call the emergency number directly.","{'Negative': 0.55466, 'Neutral': 0.4248627, 'Positive': 0.02047726}"
