user,senti_text_processed,sentimenal_res
Amsterdam,explosion catering facility pieter calandlaan amsterdam-west,"{'Negative': 0.066767775, 'Neutral': 0.88723797, 'Positive': 0.04599425}"
Amsterdam,explosion of veilmeesterweg business premises in amstelveen,"{'Negative': 0.19714874, 'Neutral': 0.77700365, 'Positive': 0.025847685}"
Amsterdam,"drugs, weapons and heavy fireworks found during inspection of storage boxes:","{'Negative': 0.41396657, 'Neutral': 0.56552124, 'Positive': 0.020512149}"
Amsterdam,explosion at money exchange office bijlmerdreef in amsterdam zuidoost,"{'Negative': 0.09795517, 'Neutral': 0.8453345, 'Positive': 0.05671037}"
Amsterdam,the detective has established the identity of the woman and informed the family. investigations revealed that no crime had been committed.,"{'Negative': 0.07319333, 'Neutral': 0.8025317, 'Positive': 0.124274984}"
Amsterdam,"on tuesday morning, april , a -year-old man was arrested in poland on suspicion of involvement in projecting texts on the anne frank house: .","{'Negative': 0.37248132, 'Neutral': 0.6137347, 'Positive': 0.013783943}"
Amsterdam,we are currently conducting research at the belt bridge (jan van galenstraat). this in response to the discovery of a woman's body in the water of the kostverlorenvaart. forensic investigation and the detective are present there.,"{'Negative': 0.06661136, 'Neutral': 0.8884041, 'Positive': 0.04498457}"
Amsterdam,scooter rider (19) died after traffic accident de boelelaan amsterdam.,"{'Negative': 0.92749083, 'Neutral': 0.06956808, 'Positive': 0.0029412063}"
Amsterdam,the detective arrested a man on suspicion of a serious sex crime last saturday evening. this crime took place less than hours before the arrest around :45 in the night from friday to saturday april in the sloterpark: .,"{'Negative': 0.33863068, 'Neutral': 0.6344297, 'Positive': 0.026939575}"
Amsterdam,"thanks for your message, you can call enforcement for this. ^ck","{'Negative': 0.020315252, 'Neutral': 0.46939728, 'Positive': 0.51028746}"
Amsterdam,"in the investigation into the missing of a -year-old man from amsterdam, the police found a body. a suspect has also been arrested. the police are still looking for the gray toyota yaris of the -year-old man:","{'Negative': 0.15611996, 'Neutral': 0.74628764, 'Positive': 0.097592466}"
Amsterdam,devastation after explosion apartment complex comeniusstraat in west. perpetrator(s) probably fled on a dark scooter in the direction of osdorp. information? call -8844 or -7000 (m.). or fill out the tip form:,"{'Negative': 0.54637814, 'Neutral': 0.44110483, 'Positive': 0.012517038}"
Amsterdam,"in the night of tuesday to wednesday april, an assault took place on marnixstraat. an unknown man first approached the victim in an annoying way and then assaulted her. the detective is looking for (specific) witnesses and images: .","{'Negative': 0.81456923, 'Neutral': 0.17915763, 'Positive': 0.0062731146}"
Amsterdam,"a -year-old from amsterdam has ensured that the police were able to arrest a -year-old fellow citizen on monday, april for fraud","{'Negative': 0.16851497, 'Neutral': 0.69115084, 'Positive': 0.14033416}"
Amsterdam,"the detective has arrested a suspect in the investigation into a violent street robbery in soetendaal. on friday night, march , an amsterdammer was robbed of his precious watch and telephone. two weeks later, the detectives arrested the suspect: .","{'Negative': 0.6199998, 'Neutral': 0.36321646, 'Positive': 0.016783718}"
Amsterdam,"stabbing incident in shopping center at bezaanjachtplein in noord. one injured person arrested, looking for counterparty. information? call -8844 or -7000 (m.). or fill out tip form:","{'Negative': 0.47020072, 'Neutral': 0.5125043, 'Positive': 0.017294995}"
Amsterdam,"hi anneke! wow, how scary, this is very dangerous. have you already called -8844? we have contacted the base team haarlemmerweg where this falls under. they are aware and are investigating the matter. ^rh","{'Negative': 0.7547973, 'Neutral': 0.22340749, 'Positive': 0.021795198}"
Amsterdam,update - the malfunction at has been resolved. mobile calls to are possible again.,"{'Negative': 0.012973032, 'Neutral': 0.38351485, 'Positive': 0.6035121}"
Amsterdam,witnesses wanted robbery specialty tobacconist admiraal de ruijterweg,"{'Negative': 0.3000526, 'Neutral': 0.67787355, 'Positive': 0.022073785}"
Amsterdam,live blog malfunction and how to reach .,"{'Negative': 0.2171116, 'Neutral': 0.74703264, 'Positive': 0.035855737}"
Amsterdam,english translation is available in the blog.,"{'Negative': 0.011464363, 'Neutral': 0.7845731, 'Positive': 0.20396261}"
Amsterdam,call: please do not call to test whether they are available. call for emergency assistance only. we will keep you informed of developments and will provide an update as soon as the services are restored.,"{'Negative': 0.21281728, 'Neutral': 0.7142428, 'Positive': 0.07293997}"
Amsterdam,"turn on wifi calling.android: go to the calling app (green button) and choose the ""settings"" option from the local menu. turn on the option calling via wifi there.ios: go to settings &gt; mobile network. turn on the option 'calling via wifi'.","{'Negative': 0.19104256, 'Neutral': 0.7328016, 'Positive': 0.07615583}"
Amsterdam,"is there an emergency, do you have vodafone as a provider and do you want to contact the emergency center? you can reach via the following alternatives.1. call via wi-fi.2. download the app for direct emergency contact.3. use a device with a different provider.","{'Negative': 0.23495692, 'Neutral': 0.6945641, 'Positive': 0.070478894}"
Amsterdam,"last night there was probably a technical in 's . as a result, there is also a problem with connecting to the center.","{'Negative': 0.7476548, 'Neutral': 0.24425752, 'Positive': 0.008087669}"
Amsterdam,"while employees of a restaurant in the haarlemmerstraat are busy serving the guests, two unknown men manage to steal a safe containing a large amount of money from the office space. are you watching the images of the suspects?","{'Negative': 0.648366, 'Neutral': 0.33670327, 'Positive': 0.014930776}"
Amsterdam,"a robbery took place on admiraal de ruijterweg around :45 p.m. we are doing extensive research in the area and looking for two suspects on a dark scooter. one wore a red vest, the other a gray one. seen something? call -8844.","{'Negative': 0.2506194, 'Neutral': 0.7183873, 'Positive': 0.030993314}"
Amsterdam,"around am today, a serious collision between a motorcycle and a van took place on the burgemeester stramanweg in ouderkerk aan de amstel. the driver of the motorcycle was seriously injured and died on the spot. we are investigating the cause of the accident.","{'Negative': 0.83164275, 'Neutral': 0.1584111, 'Positive': 0.009946195}"
Amsterdam,"both last night and the night before, explosions took place at porches in majubastraat. the criminal investigation department is investigating both incidents and a possible connection:. (photo by inter visual studio)","{'Negative': 0.39506918, 'Neutral': 0.5792058, 'Positive': 0.025725007}"
Amsterdam,"next week, french president emmanuel macron will visit our city. as part of the welcoming ceremony, we will fire gun salutes at :03 a.m. on tuesday morning. so don't be scared.","{'Negative': 0.014640374, 'Neutral': 0.35811442, 'Positive': 0.6272452}"
Amsterdam,"ameen chaudhry, , has been missing since april and we (along with those around him) are concerned for his well-being:","{'Negative': 0.678237, 'Neutral': 0.30924746, 'Positive': 0.012515523}"
Amsterdam,suspect (16) arrested after stabbing incident in southeast,"{'Negative': 0.63847876, 'Neutral': 0.35493577, 'Positive': 0.006585465}"
Amsterdam,a stabbing incident has just taken place on the street in the vicinity of the abcouderpad. victim transferred to a hospital. police are looking for the perpetrator in the area. seen something? let us know via -8844.,"{'Negative': 0.6484419, 'Neutral': 0.3417788, 'Positive': 0.00977931}"
Amsterdam,"around pm tonight on the jan van galenstr. a serious collision between a car and a scooter. the driver of the scooter was seriously injured and was rushed to hospital, the driver of the car was arrested. assignment is being investigated.","{'Negative': 0.7236962, 'Neutral': 0.25783038, 'Positive': 0.018473353}"
Amsterdam,a shooting incident took place at gare du nord last night. an unknown man shot at another man whose identity has not yet been established. the detective is looking for this victim and people who may have more information: .,"{'Negative': 0.56344855, 'Neutral': 0.4264001, 'Positive': 0.010151363}"
Amsterdam,a shooting incident took place tonight on the street near a gym at gare du nord. both victim and perpetrator fled. police are searching the area. did you see something? let us know via -8844.,"{'Negative': 0.5309071, 'Neutral': 0.45626736, 'Positive': 0.012825522}"
Amsterdam,"a football trick may sound innocent, but it has caused a -year-old tourist to have his precious watch stolen on the oudezijds voorburgwal. take a look at the images of the two suspects. do you recognize them? then call -8844 or anonymously -7000.","{'Negative': 0.7794215, 'Neutral': 0.20856479, 'Positive': 0.012013745}"
Amsterdam,online fingerprints of more than million people have been stolen and traded on the criminal website . the site is offline. suspects have been arrested in the netherlands. see,"{'Negative': 0.7730863, 'Neutral': 0.21525833, 'Positive': 0.011655377}"
Amsterdam,"last night an explosion took place at a house on the van hilligaertstraat. the detective is looking for people who may know more about the incident and, for example, have seen/recorded the (escaping) perpetrator(s): .","{'Negative': 0.46381718, 'Neutral': 0.5185323, 'Positive': 0.017650528}"
Amsterdam,"thanks to an observant burgernet user, two suspects of a robbery at a drugstore on holendrechtplein were arrested this morning:","{'Negative': 0.022875475, 'Neutral': 0.6143165, 'Positive': 0.36280802}"
Amsterdam,"amsterdam: armed robbery reigersbos. vd weg, do skin color, black jacket, olive green jacket, yrs. do not approach yourself. dial .","{'Negative': 0.54518914, 'Neutral': 0.43690765, 'Positive': 0.017903177}"
Amsterdam,an armed robbery has just been committed in a store at reigersbos. two suspects (see citizen net) have fled and it is unknown whether anything was stolen. no one was injured. witnessed? let us know on . call in case of emergency.,"{'Negative': 0.44152576, 'Neutral': 0.5319714, 'Positive': 0.026502838}"
Amsterdam,"-year-old suspect arrested after violent incident iepenweg in east amsterdam. a woman (58) becomes the victim of an assault. a -year-old bystander then runs after the suspect, but then becomes a victim himself:","{'Negative': 0.7046625, 'Neutral': 0.28577355, 'Positive': 0.00956397}"
Amsterdam,fadumo has been found safe and in good health. thanks for looking!,"{'Negative': 0.0016942638, 'Neutral': 0.03430306, 'Positive': 0.9640027}"
Amsterdam,"the -year-old fadumo has been missing from uithoorn since march , around p.m.","{'Negative': 0.4664995, 'Neutral': 0.52073663, 'Positive': 0.012763895}"
Amsterdam,police are looking for witnesses to stabbing incident in southeast,"{'Negative': 0.3429807, 'Neutral': 0.64217895, 'Positive': 0.014840282}"
Amsterdam,missing oludamilola alero sheminat has been found. thanks for looking and sharing our earlier post.,"{'Negative': 0.007431973, 'Neutral': 0.25981134, 'Positive': 0.73275673}"
Amsterdam,the woman who was shot dead this morning on de wittenstraat is a -year-old from amsterdam. presumed shooter who was found dead in the garage on de wittenkade is a -year-old man from amsterdam:,"{'Negative': 0.6101636, 'Neutral': 0.37824377, 'Positive': 0.011592615}"
Amsterdam,a violent shooting incident this morning in wittenstraat where a woman was shot dead on the street. the police found a deceased man in a garage on wittenkade. we suspect this is the shooter. people who saw something can share info via -8844,"{'Negative': 0.82881564, 'Neutral': 0.16526276, 'Positive': 0.005921609}"
Amsterdam,the suspected shooter was found dead in a parking garage on de wittenkade. investigations are being carried out at both crime scenes by detectives and specialist police services.,"{'Negative': 0.5296585, 'Neutral': 0.4574528, 'Positive': 0.012888704}"
Amsterdam,the victim has died. an emergency container will be placed. keep an eye on our twitter account for more information.,"{'Negative': 0.73734933, 'Neutral': 0.24879767, 'Positive': 0.013853058}"
Amsterdam,"around :00 a person was shot in a stairwell on wittenstraat. emergency services are on site and provide first aid. the suspect fled on foot. the suspect is a white man of about six feet tall and of a sturdy build. if found, call immediately!","{'Negative': 0.3561996, 'Neutral': 0.6103227, 'Positive': 0.033477664}"
Amsterdam,contact .,"{'Negative': 0.16343072, 'Neutral': 0.70586723, 'Positive': 0.13070203}"
Amsterdam,a stabbing incident has just taken place in a supermarket on belgieplein. the victim was taken to hospital with unknown injuries. the suspect has been arrested. there may have been an argument beforehand. have you been witnesses or do you have images?,"{'Negative': 0.5367107, 'Neutral': 0.44905376, 'Positive': 0.014235489}"
Amsterdam,"the crisis exercise around the olympic stadium has come to an end. emergency services and defense practiced their cooperation yesterday and today during a fictional terrorist attack. realistic practice with involved. thank you! , , , .","{'Negative': 0.08433106, 'Neutral': 0.45707223, 'Positive': 0.45859677}"
Amsterdam,"on tuesday evening, march , after a chase, police officers arrested two occupants of a passenger car on suspicion of stealing a passenger car and attempted manslaughter. no one was injured. via","{'Negative': 0.44546068, 'Neutral': 0.51149577, 'Positive': 0.04304356}"
Amsterdam,"the police are looking for witnesses to a robbery at a hotel on loosdrechtdreef. for more information, please visit:","{'Negative': 0.12451901, 'Neutral': 0.8366452, 'Positive': 0.038835716}"
Amsterdam,"when an employee of a supermarket in diemen takes a story from an alleged shoplifter, he gets a blow. the victim sustained six broken bones. do you know who the man is? let us know. call or report anonymously via . see also","{'Negative': 0.80240583, 'Neutral': 0.19152327, 'Positive': 0.0060709175}"
Amsterdam,"always be prepared. fictitious terrorist attack in olympic stadium has started. the amsterdam-amstelland security region is organizing this exercise together with , , , . shots may be heard from practice ammunition.","{'Negative': 0.60914624, 'Neutral': 0.3666398, 'Positive': 0.024213947}"
Amsterdam,"update bos en lommerweg robbery: due to the attention of a citizen, a suspect has been arrested. thanks everyone for looking.","{'Negative': 0.038383495, 'Neutral': 0.53777915, 'Positive': 0.4238374}"
Amsterdam,this afternoon a robbery took place at a building on bos en lommerweg. someone was injured in this. the police are still looking for the suspect.,"{'Negative': 0.7727415, 'Neutral': 0.2187611, 'Positive': 0.008497449}"
Amsterdam,two arrests for fraud with qr codes:,"{'Negative': 0.55908436, 'Neutral': 0.42719924, 'Positive': 0.013716446}"
Amsterdam,six arrests after integral checks:,"{'Negative': 0.1619965, 'Neutral': 0.80514157, 'Positive': 0.03286197}"
Amsterdam,"the outflow of at the has been stopped by . the danger has passed. residents can return. no injuries. we are now looking at how the leak, created during work, can be closed and the can be safely put back into use.","{'Negative': 0.079426154, 'Neutral': 0.5999931, 'Positive': 0.3205807}"
Amsterdam,"several residents have been asked to leave their homes because of the outflowing gas on the . due to the gas leak, it is now not safe to stay in three adjacent residential buildings. the fire service carries out measurements in the area.","{'Negative': 0.90062046, 'Neutral': 0.09451565, 'Positive': 0.0048638005}"
Amsterdam,the fire brigade and other emergency services have been turned out to a gas leak at the in . unsafe area is cordoned off. more information follows.,"{'Negative': 0.18064277, 'Neutral': 0.7800992, 'Positive': 0.039258044}"
Amsterdam,witnesses wanted to robbery derkinderenstraat,"{'Negative': 0.2542669, 'Neutral': 0.71691865, 'Positive': 0.02881446}"
Amsterdam,"in the night of to march there was a street robbery in zuid. the victim suffered minor injuries after being beaten with a bat. the detective is looking for witnesses. for more information, please visit:","{'Negative': 0.7265365, 'Neutral': 0.2640473, 'Positive': 0.009416191}"
Amsterdam,"police are investigating at the ochtenhof in zuidoost. around pm a man was stabbed on the street there, possibly by several suspects. the victim was taken to hospital in an acceptable condition. have you seen anything or information? let us know on","{'Negative': 0.4159213, 'Neutral': 0.5655646, 'Positive': 0.018514087}"
Amsterdam,the person has been pulled from the water and is being rushed to hospital. police thank witnesses and bystanders who called and helped.,"{'Negative': 0.015673477, 'Neutral': 0.43940404, 'Positive': 0.5449225}"
Amsterdam,"a person fell into the water near stationsplein amsterdam cs. it is suspected that the person entered the water himself, but this is under investigation. several emergency services have been called and a search is underway in the water.","{'Negative': 0.42144147, 'Neutral': 0.55606794, 'Positive': 0.022490542}"
Amsterdam,"one person died and one person was injured in a fire in lutmastraat last sunday. police are investigating and looking for witnesses. for more information, please visit:","{'Negative': 0.78661585, 'Neutral': 0.20383243, 'Positive': 0.009551837}"
Amsterdam,suspect (16) from dordrecht arrested in investigation into the fatal shooting incident at the haardstee in a'dam zuidoost on -12-2022:,"{'Negative': 0.46827194, 'Neutral': 0.5217003, 'Positive': 0.01002769}"
Amsterdam,"on the early morning of sunday, march , , a stabbing incident took place in the oosterpark in east amsterdam. an unknown man stabbed another man there and then fled: .","{'Negative': 0.7894185, 'Neutral': 0.20420735, 'Positive': 0.006374158}"
Amsterdam,"in the night of sunday to monday march, residents in an apartment complex in amsterdam-zuidoost were pulled out of their beds due to a fire. the fire was caused by an explosion. do you know more? contact us at -8844 or anonymously at -7000","{'Negative': 0.74053186, 'Neutral': 0.24736172, 'Positive': 0.01210637}"
Amsterdam,would you like to contact us via -8844? then we will pass on your details to the colleagues who handle the case. ^jt,"{'Negative': 0.02175524, 'Neutral': 0.92165583, 'Positive': 0.05658891}"
Amsterdam,the nautical team does its job on the water in amsterdam. check it out on instagram:,"{'Negative': 0.0059712986, 'Neutral': 0.68530035, 'Positive': 0.3087284}"
Amsterdam,"the advantage of spring is that you can also count sheep during the day. in the we saw at least one special sheep . but every spring has its ""autumn"". right now on the water we sharpen attention. and with success!","{'Negative': 0.0033480807, 'Neutral': 0.09316175, 'Positive': 0.9034902}"
Amsterdam,"on friday evening, march , around p.m., officers found a dead puppy, a few weeks old, in a box along the heesterveld flat in amsterdam southeast. do you know more about this puppy? or other information for the investigation? then contact them on -8844 or -7000.","{'Negative': 0.38812163, 'Neutral': 0.5831587, 'Positive': 0.028719641}"
Amsterdam,suspects armed home robbery gooioord placed in custody.,"{'Negative': 0.47888517, 'Neutral': 0.50846297, 'Positive': 0.012651915}"
Amsterdam,armed robbery at spaklerweg supermarket,"{'Negative': 0.47362867, 'Neutral': 0.50878304, 'Positive': 0.01758832}"
Amsterdam,the victim was rushed to hospital. the investigation team calls on witnesses and bystanders to come forward if necessary. share dashcam and/or doorbell videos. call -8844 if you witnessed this accident. [2/2],"{'Negative': 0.22164309, 'Neutral': 0.722145, 'Positive': 0.05621185}"
Amsterdam,the police are investigating the scheldestraat in amsterdam south due to the corona crisis. a serious traffic accident between a truck and a cyclist. [1/2],"{'Negative': 0.5412108, 'Neutral': 0.4303611, 'Positive': 0.028428122}"
Amsterdam,a barber shop on jan evertsenstraat was severely damaged last night by suspected heavy fireworks. the detective is investigating and is looking for witnesses and images. information? call -8844 or -7000 (m.). or fill out the tip form:,"{'Negative': 0.5957721, 'Neutral': 0.38830605, 'Positive': 0.015921893}"
Amsterdam,home robbers gooioord arrested,"{'Negative': 0.5557905, 'Neutral': 0.42810482, 'Positive': 0.016104665}"
Amsterdam,"the lifeless body found today in the water along the amstelveenseweg has been recognized as jessica kurzawa, who has been missing since february . the north holland police are investigating the cause of death. our thoughts are with the bereaved.","{'Negative': 0.48230466, 'Neutral': 0.48688686, 'Positive': 0.030808417}"
Amsterdam,"a body was found earlier this afternoon in the water along the amstelveenseweg. the police are investigating, including the identity of this person.","{'Negative': 0.22771764, 'Neutral': 0.7477177, 'Positive': 0.024564655}"
Amsterdam,the detectives arrested two young suspects yesterday on suspicion of involvement in two separate explosions in amsterdam last year on hoofdweg and pieter calandlaan: .,"{'Negative': 0.3544945, 'Neutral': 0.6207546, 'Positive': 0.024750913}"
Amsterdam,"no injuries, but a lot of damage: last night a car drove into a catering facility on sierenborch. based on the initial investigation, the detective thinks there could be intent, tips are welcome: .","{'Negative': 0.2969939, 'Neutral': 0.6078253, 'Positive': 0.09518078}"
Amsterdam,have you seen or heard anything that may contribute to the police investigation? then we would like to get in touch with you.,"{'Negative': 0.037110794, 'Neutral': 0.9003032, 'Positive': 0.06258606}"
Amsterdam,shots were fired last night at a coffee shop on derde oosterparkstraat. no one was injured in the process. police are investigating and are appealing for witnesses to come forward. read the full post here:,"{'Negative': 0.30861643, 'Neutral': 0.6328842, 'Positive': 0.058499403}"
Amsterdam,search results in the discovery of a firearm and flash grenade:,"{'Negative': 0.08331204, 'Neutral': 0.87626964, 'Positive': 0.040418345}"
Amsterdam,"as indicated earlier, please contact us at -8844 ^jb","{'Negative': 0.021981413, 'Neutral': 0.90721107, 'Positive': 0.07080755}"
Amsterdam,- you can contact -8844. then my colleagues can judge what is best to do in this case. ^^fdb,"{'Negative': 0.048674386, 'Neutral': 0.86871207, 'Positive': 0.08261357}"
Amsterdam,we've been promised they'll get back to you^^fdb,"{'Negative': 0.039153736, 'Neutral': 0.6335059, 'Positive': 0.32734036}"
Amsterdam,"this afternoon, a suspicious package was found among the seized goods at the police station on kabelweg. it turns out to be some kind of explosive. the eod has secured the object and has just detonated it at a safe location, ruigoord.","{'Negative': 0.31889224, 'Neutral': 0.6356972, 'Positive': 0.045410566}"
Amsterdam,are you still there?,"{'Negative': 0.103894055, 'Neutral': 0.8124275, 'Positive': 0.08367846}"
Amsterdam,"nikya33 you don't bother anyone, your help within the ggz will contact you. this has just been said by them to us police.","{'Negative': 0.11402483, 'Neutral': 0.74991316, 'Positive': 0.13606201}"
Amsterdam,"i'm pretty sure people are looking out for you would miss you if you actually committed suicide. help is available, including for you. have you already sought help or are you getting help?","{'Negative': 0.30178645, 'Neutral': 0.5652831, 'Positive': 0.13293038}"
Amsterdam,no you don't have to. can i do something else for you? so you don't have to carry out your plan? of course that would be awful. surely there is a lot in life to achieve or see.,"{'Negative': 0.629621, 'Neutral': 0.3023726, 'Positive': 0.0680064}"
Amsterdam,how do you plan to do your suicide? can i have a call with you?roelof^^,"{'Negative': 0.15013885, 'Neutral': 0.80591655, 'Positive': 0.04394462}"
Amsterdam,"hello nikya33, can i help you? what is a message. rr^^","{'Negative': 0.007391542, 'Neutral': 0.5983919, 'Positive': 0.39421663}"
Amsterdam,call -8844. then my colleagues can judge what is best to do in this case. rr^^,"{'Negative': 0.033255044, 'Neutral': 0.78706104, 'Positive': 0.17968397}"
Amsterdam,we are looking for new spokespersons! does that sound like fun to you or do you know someone who is interested?,"{'Negative': 0.002659878, 'Neutral': 0.22542736, 'Positive': 0.7719128}"
Amsterdam,"this morning, march , , the detectives arrested four suspects in the investigation into the kidnapping of a -year-old boy. this boy was kidnapped in the tweede jan steenstraat on tuesday morning, january : .","{'Negative': 0.33161274, 'Neutral': 0.6484696, 'Positive': 0.01991767}"
Amsterdam,-year-old woman attacked on middenweg. detectives are looking for witnesses.,"{'Negative': 0.68700755, 'Neutral': 0.30323097, 'Positive': 0.009761492}"
Amsterdam,"in the night of sunday to march, local residents of a complex at john lockehof were startled by an explosion. the detective is looking for witnesses","{'Negative': 0.39311558, 'Neutral': 0.57196015, 'Positive': 0.034924265}"
Amsterdam,quick arrests after armed robbery at maria austriastraat,"{'Negative': 0.3397784, 'Neutral': 0.63592374, 'Positive': 0.02429789}"
Amsterdam,"yesterday, with a service weapon drawn, the police arrested a man (22) who threatened people with a firearm on the a4. the weapon is not real, but turns out to be a bottle of alcohol in the form of an automatic firearm. read more:","{'Negative': 0.72421396, 'Neutral': 0.2624017, 'Positive': 0.013384364}"
Amsterdam,the detective is looking for these two young people. they are suspected of violently robbing a minor. the victim was punched several times in the face. do you recognize them? then call -8844 or anonymously on -7000.,"{'Negative': 0.8117012, 'Neutral': 0.18194158, 'Positive': 0.0063572046}"
Amsterdam,": nicotine sachets/snus (with or more milligrams of tobacco) are illegal in the netherlands. the bags may not be sold or tradednicotine bags/snus (with or more milligrams of tobacco) are illegal in the netherlands. the bags may not be sold or traded. we check this together with the police. for example, yesterday we took more than nicotine bags from the market . bags","{'Negative': 0.83023113, 'Neutral': 0.15967846, 'Positive': 0.010090387}"
Amsterdam,the police are looking for witnesses to two street robberies on wednesday evening in zuidoost. two young men were robbed of personal belongings by a group of boys (15 to years old);,"{'Negative': 0.6654141, 'Neutral': 0.32378095, 'Positive': 0.01080499}"
