user,senti_text_processed,sentimenal_res
Vienna,"together with and ma - integration und diversity we are looking for viennese people with a migration background for police work. at the series of events ""vienna needs you!"" you can find out more about the training. all information:","{'Negative': 0.024742706, 'Neutral': 0.778982, 'Positive': 0.19627526}"
Vienna,"together with and ma - integration und diversity we are looking for viennese people with a migration background for police work. at the series of events ""vienna needs you!"" you can find out more about the training. all information:","{'Negative': 0.024742706, 'Neutral': 0.778982, 'Positive': 0.19627526}"
Vienna,"together with and ma - integration und diversity we are looking for viennese people with a migration background for police work. at the series of events ""vienna needs you!"" you can find out more about the training. all information:","{'Negative': 0.024742706, 'Neutral': 0.778982, 'Positive': 0.19627526}"
Vienna,"together with and ma - integration und diversity we are looking for viennese people with a migration background for police work. at the series of events ""vienna needs you!"" you can find out more about the training. all information:","{'Negative': 0.024742706, 'Neutral': 0.778982, 'Positive': 0.19627526}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"urge: doctor arrested and in custodypeople who work to preserve our livelihood are locked up.lack of doctors in the police detention center too, ?","{'Negative': 0.80481374, 'Neutral': 0.18710966, 'Positive': 0.008076639}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
Vienna,"rt : during the operation last sunday, journalists were prevented from doing their work! freedom ...during the operation last sunday, journalists were prevented from doing their work! :// /4","{'Negative': 0.7293155, 'Neutral': 0.2554563, 'Positive': 0.015228156}"
