user,senti_text_processed,sentimenal_res
Copenhagen,"silas, whom we called for yesterday, is home safe and sound. media and others please delete the photo. thank you to those of you who helped lead.","{'Negative': 0.0371277, 'Neutral': 0.36197358, 'Positive': 0.60089874}"
Copenhagen,the resund motorway is again fully passable in both directions.,"{'Negative': 0.003974352, 'Neutral': 0.19592732, 'Positive': 0.80009836}"
Copenhagen,"in connection with a traffic accident on the resund motorway, eastbound traffic is diverted from exit lufthavn v, from where you can continue towards both the airport and sweden.","{'Negative': 0.45561743, 'Neutral': 0.5240481, 'Positive': 0.020334424}"
Copenhagen,"update about a person found dead at christiania. we have now finished working on the scene, and there is currently nothing to indicate that there should be a criminal relationship. we have no further information on the matter.","{'Negative': 0.3163174, 'Neutral': 0.6388546, 'Positive': 0.044828027}"
Copenhagen,a -year-old man has just been remanded in custody until april. he is charged with attempted murder on emdrupvej on november . there are already two men aged and in custody in the case,"{'Negative': 0.6795298, 'Neutral': 0.31071576, 'Positive': 0.0097544715}"
Copenhagen,"citizens also showed up at the bailiff's court themselves, after we issued a press release about the action the week before, and nine showed up on the day of the action. we continue to encourage you to keep an eye on your e-boks and to clear up outstanding matters with the courts in the political circle","{'Negative': 0.039604638, 'Neutral': 0.8033845, 'Positive': 0.15701088}"
Copenhagen,"on march , we had a targeted campaign against citizens who had not been paid their debts to the bailiff's court. in that connection, we arrested people, and two turned themselves in to court after we contacted them","{'Negative': 0.7202543, 'Neutral': 0.27182475, 'Positive': 0.007920894}"
Copenhagen,"a demonstration involving approx. trucks are on their way from avedre to christiansborg castle square. it is expected to affect parts of the traffic in indre by, and we encourage road users to think about alternative routes through the city","{'Negative': 0.19391632, 'Neutral': 0.7263911, 'Positive': 0.07969262}"
Copenhagen,we would very much like to hear from witnesses who have seen suspicious persons walking in the area or have made other observations that may be relevant to the investigation,"{'Negative': 0.08485216, 'Neutral': 0.79082054, 'Positive': 0.124327384}"
Copenhagen,"we are still investigating the episode in tingbjerg on friday evening, where several shots were fired at an apartment. there are currently nothing that can explain why shots were fired at that particular apartment. the resident is an elderly citizen who has no contact with any criminal environments","{'Negative': 0.80601484, 'Neutral': 0.18663648, 'Positive': 0.0073487125}"
Copenhagen,a -year-old danish man was yesterday arrested and charged with violence committed against a portuguese tourist at copenhagen airport. the two did not know each other beforehand. the aggrieved tourist reached his flight after a trip past the emergency room. the -year-old was subsequently released,"{'Negative': 0.79858726, 'Neutral': 0.19495896, 'Positive': 0.00645379}"
Copenhagen,"the last motorbikes have now left nrrebrogade, and the barriers have therefore been removed again","{'Negative': 0.019975921, 'Neutral': 0.8633617, 'Positive': 0.11666237}"
Copenhagen,"a -year-old man has just been remanded in custody until april. he is charged in the murder case from dragr fort on january , where a -year-old man was stabbed to death","{'Negative': 0.80361205, 'Neutral': 0.19108799, 'Positive': 0.0052999686}"
Copenhagen,there are now so many motorcycles gathered on nrrebrogade that we have blocked off the street from nrrebro's roundabout to nrrebro station. the procession moves towards the hill around and we will reopen nrrebrogade as soon as possible after that,"{'Negative': 0.153481, 'Neutral': 0.7695641, 'Positive': 0.07695487}"
Copenhagen,"last night we made a traffic effort at the intersection tuborgvej/emdrupvej. five motorists received a clip and a fine for driving too fast, three were fined for incorrect headlights and one was fined for not wearing a seat belt. in addition, one person was arrested for driving under the influence of alcohol","{'Negative': 0.74583906, 'Neutral': 0.23552063, 'Positive': 0.018640278}"
Copenhagen,the easter holidays are upon us remember to get your neighbor to keep an eye on your house if he is home alone during the holidays.arrange holiday help with your neighbors and read more good advice here:,"{'Negative': 0.011454302, 'Neutral': 0.30837873, 'Positive': 0.68016696}"
Copenhagen,the procession follows this route: nrrebrogade lygten tagensvej tuborgvej strandvejen kystvejen strandvejen dyrehavevej christiansholmsvej klampenborgvej skovporten dyrehavsbakken,"{'Negative': 0.058500774, 'Neutral': 0.9046719, 'Positive': 0.036827315}"
Copenhagen,"on the occasion of bakken's opening, tonight there is a motorcycle procession departing from nrrebrogade. busy runs towards bakken at , but nrrebrogade is expected to be blocked off already at","{'Negative': 0.053857688, 'Neutral': 0.87864935, 'Positive': 0.06749296}"
Copenhagen,"the police would never ask for information like that. please also be aware that these are both danish- and english-speaking men, and that it can be seen from the phone's display that they are calling from a number that ends in (i.e. that it looks like one of the police's numbers)","{'Negative': 0.39632124, 'Neutral': 0.55428725, 'Positive': 0.049391497}"
Copenhagen,"we are currently receiving a lot of reports about phone scams where perpetrators pretend to be from the police. they can claim, for example, that one's account has been hacked or that a loan has been taken out in one's name. in this way, they try to lure account information out of people","{'Negative': 0.8222664, 'Neutral': 0.17034495, 'Positive': 0.007388694}"
Copenhagen,"in the same period, we also received a report of shoplifting in indre by, where a shop detective detained a -year-old moroccan citizen. he too was in possession of goods that had not been paid for. he will be produced in a constitutional hearing later today","{'Negative': 0.6241754, 'Neutral': 0.36291528, 'Positive': 0.012909284}"
Copenhagen,the arrested are two lithuanian citizens aged and respectively. the -year-old will be produced in a constitutional hearing later today,"{'Negative': 0.27424204, 'Neutral': 0.70623213, 'Positive': 0.01952588}"
Copenhagen,"a shop detective reported two men yesterday at p.m., whom he suspected of having just committed theft in a shop in field's in amager. when the patrol arrived, the two people were arrested and found in possession of the stolen goods, which were delivered back to the store","{'Negative': 0.5550181, 'Neutral': 0.43013674, 'Positive': 0.014845173}"
Copenhagen,"in cooperation with colleagues in , we have arrested a -year-old woman and a -year-old man. they are charged with fraud to a total value of around dkk . both will be produced in constitutional hearings in the copenhagen district court tomorrow regarding custody","{'Negative': 0.3844579, 'Neutral': 0.58259684, 'Positive': 0.03294529}"
Copenhagen,"in the case of the shooting in field's on july , copenhagen police's prosecution has now brought charges against a -year-old man. among other things, he is charged with three murders and several attempted murders","{'Negative': 0.8404999, 'Neutral': 0.15581279, 'Positive': 0.003687426}"
Copenhagen,"we have arrested a -year-old man who is charged with threats to life and breach of the knife act in a business on valby langgade this morning. after a controversy, the perpetrator threatened a man with a knife. the victim grabbed the knife and thus cut his hand","{'Negative': 0.88078827, 'Neutral': 0.11544118, 'Positive': 0.0037706173}"
Copenhagen,"the police, fire and ambulance services in vestegnen and in copenhagen call on road users on the motorways in greater copenhagen to help position themselves in a special way when traffic stops and emergency vehicles arrive.","{'Negative': 0.040952493, 'Neutral': 0.8585963, 'Positive': 0.10045118}"
Copenhagen,"seven men are produced today in a constitutional hearing charged with the sale of around two tons of hashish, mainly in pusher street in christiania","{'Negative': 0.241936, 'Neutral': 0.74024, 'Positive': 0.017823992}"
Copenhagen,"the -year-old was produced this afternoon in a constitutional hearing at the court in frederiksberg, where the judge decided to maintain the arrest for another three days","{'Negative': 0.07070313, 'Neutral': 0.8989316, 'Positive': 0.030365204}"
Copenhagen,"in a case of threats, robbery and possession of weapons, we have today arrested a -year-old boy. he is accused of threatening a shop employee, who had stopped him during a shoplifting in a supermarket in vanlse, both verbally and with a knife on march","{'Negative': 0.8690286, 'Neutral': 0.12700531, 'Positive': 0.0039660325}"
Copenhagen,we have arrested five young men for extensive telephone scams against elderly women. a -year-old man is being produced in a constitutional hearing today ://,"{'Negative': 0.6821927, 'Neutral': 0.30225158, 'Positive': 0.0155558}"
Copenhagen,the arrested person has been remanded in custody for days,"{'Negative': 0.2571211, 'Neutral': 0.72228116, 'Positive': 0.02059782}"
Copenhagen,"in relation to the case from february, we have arrested a -year-old man on funen. he is charged with money laundering of approx. million dkk. he will be produced in a constitutional hearing tomorrow. for the sake of the investigation, we currently have no further comments","{'Negative': 0.39809656, 'Neutral': 0.57737166, 'Positive': 0.0245318}"
