user,senti_text_processed,sentimenal_res
Amsterdam,:29:34 | p road transport accident injury overtoom amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.36429822, 'Neutral': 0.6070039, 'Positive': 0.028697798}"
Amsterdam,:35:06 | p accident involving railway equipment between more amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.2724814, 'Neutral': 0.6921563, 'Positive': 0.035362296}"
Amsterdam,:53:36 | p road transport accident injury renswoudebrug amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.35740146, 'Neutral': 0.6140099, 'Positive': 0.028588593}"
Amsterdam,wqopxgodqpa you........expect........it..........not!,"{'Negative': 0.60564625, 'Neutral': 0.3466613, 'Positive': 0.047692407}"
Amsterdam,:37:47 | p road transport accident injury mauritskade amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3518738, 'Neutral': 0.6196859, 'Positive': 0.028440338}"
Amsterdam,:31:08 | p robbery house biesboschstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.10990109, 'Neutral': 0.8520206, 'Positive': 0.03807836}"
Amsterdam,"your linkedin page of (call centre) what now cheap clothing store is and before was followers, but get likes comments on a post.","{'Negative': 0.11422535, 'Neutral': 0.81792396, 'Positive': 0.06785068}"
Amsterdam,p pursuit august allebeplein amsterdam | oc police unit amsterdam ovd oc | ^tz,"{'Negative': 0.09802372, 'Neutral': 0.86102825, 'Positive': 0.04094799}"
Amsterdam,p road transport accident injury linnaeusstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4343454, 'Neutral': 0.5433888, 'Positive': 0.0222658}"
Amsterdam,p chase jan van galenstraat amsterdam | oc police unit amsterdam ovd oc | ^tz,"{'Negative': 0.106310956, 'Neutral': 0.85266674, 'Positive': 0.04102233}"
Amsterdam,p road transport accident injury a10 re - ring road-west amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3516342, 'Neutral': 0.6230094, 'Positive': 0.025356445}"
Amsterdam,p road transport accident injury a10 li - kp the new lake amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.38090104, 'Neutral': 0.5943678, 'Positive': 0.024731118}"
Amsterdam,p accident road transport injury van woustraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.25288388, 'Neutral': 0.71646696, 'Positive': 0.03064909}"
Amsterdam,p road transport accident injury cornelis krusemanstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.48586297, 'Neutral': 0.49400714, 'Positive': 0.020129856}"
Amsterdam,"your tweet is the biggest nonsense samed.because:the amsterdam police must hand over the file to the hague police, who will then take a look and hear a possible suspect. only when everything has been investigated by the police does the file go to the public prosecutor's office.i am to date, not and never heard!!","{'Negative': 0.80890465, 'Neutral': 0.17595842, 'Positive': 0.015136964}"
Amsterdam,p road transport accident injury a10 li - west amsterdam ring road | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3277488, 'Neutral': 0.6442022, 'Positive': 0.028049046}"
Amsterdam,p road transport accident injury it low amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.52342314, 'Neutral': 0.45715186, 'Positive': 0.019424979}"
Amsterdam,p accident road transport injury mayor devluchttlaan amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.32874984, 'Neutral': 0.6437909, 'Positive': 0.02745928}"
Amsterdam,p pursuit bijlmerdreef amsterdam | oc police unit amsterdam ovd oc | ^tz,"{'Negative': 0.11845946, 'Neutral': 0.84150666, 'Positive': 0.04003384}"
Amsterdam,p accident road transport injury black pad amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.2960778, 'Neutral': 0.6771498, 'Positive': 0.026772406}"
Amsterdam,p road transport accident injury mayor kasteleinweg aalsmeer | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4220795, 'Neutral': 0.5552298, 'Positive': 0.02269067}"
Amsterdam,p house/residential building dr. h. colijnstraat amsterdam | oc police unit amsterdam ovd oc | ^tz,"{'Negative': 0.08043352, 'Neutral': 0.88170224, 'Positive': 0.037864234}"
Amsterdam,p accident rail injury amsterdam sloterdijk amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3401879, 'Neutral': 0.6329352, 'Positive': 0.026876885}"
Amsterdam,p road transport accident injury alexanderplein amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.43329307, 'Neutral': 0.54367816, 'Positive': 0.02302874}"
Amsterdam,p road transport accident injury daalwijkdreef amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3837315, 'Neutral': 0.5926774, 'Positive': 0.023591092}"
Amsterdam,you are hours further and again your credibility is not left samed.even among your own people you sow discord/hatred and unrest.,"{'Negative': 0.91946054, 'Neutral': 0.07627462, 'Positive': 0.004264872}"
Amsterdam,p road transport accident injury insulindeweg amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4459444, 'Neutral': 0.53194535, 'Positive': 0.0221103}"
Amsterdam,p road transport accident injury jan tooopstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.42862466, 'Neutral': 0.5495865, 'Positive': 0.021788884}"
Amsterdam,p road transport accident injury jan van galenstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.39712438, 'Neutral': 0.57932144, 'Positive': 0.023554213}"
Amsterdam,p road transport accident injury jan pieter heijestraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.41483653, 'Neutral': 0.56249166, 'Positive': 0.022671817}"
Amsterdam,p road transport accident injury marnixstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4089376, 'Neutral': 0.56713295, 'Positive': 0.023929508}"
Amsterdam,"gosh, how many times have we heard that before.","{'Negative': 0.592061, 'Neutral': 0.36469397, 'Positive': 0.04324497}"
Amsterdam,p road transport accident injury van beuningenstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.35948607, 'Neutral': 0.613674, 'Positive': 0.026839957}"
Amsterdam,p robbery company/inst. surinameplein amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.19899474, 'Neutral': 0.7646726, 'Positive': 0.03633276}"
Amsterdam,p road transport accident injury hagedoornweg amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.39495105, 'Neutral': 0.5812443, 'Positive': 0.023804698}"
Amsterdam,p road transport accident injury pieter cornelisz. main street amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.38451758, 'Neutral': 0.5891416, 'Positive': 0.026340792}"
Amsterdam,p road transport accident injury marnixstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4089376, 'Neutral': 0.56713295, 'Positive': 0.023929508}"
Amsterdam,p road transport accident injury exit a10 re - geuzenveld amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.35206884, 'Neutral': 0.62357306, 'Positive': 0.024358133}"
Amsterdam,p accident road transport injury exit a10 re - north amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.22196452, 'Neutral': 0.74695504, 'Positive': 0.031080421}"
Amsterdam,p road transport accident injury mayor rendorpstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.41384977, 'Neutral': 0.5620798, 'Positive': 0.024070434}"
Amsterdam,p road transport accident injury bos en lommerweg amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.40390617, 'Neutral': 0.5733087, 'Positive': 0.022785084}"
Amsterdam,p person on the water egelantiersgracht amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.09225989, 'Neutral': 0.86677134, 'Positive': 0.040968727}"
Amsterdam,p pursuit coentunnel circuit amsterdam | oc police unit amsterdam ovd oc | ^tz,"{'Negative': 0.08848266, 'Neutral': 0.8692268, 'Positive': 0.042290457}"
Amsterdam,p road transport accident injury mauritskade amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.403165, 'Neutral': 0.5729266, 'Positive': 0.023908382}"
Amsterdam,p road transport accident injury a10 re - north amsterdam ring road | oc police unit amsterdam press info | ^tz,"{'Negative': 0.31375608, 'Neutral': 0.6584307, 'Positive': 0.027813265}"
Amsterdam,p person on the water oudezijds achterburgwal amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.07912688, 'Neutral': 0.88159174, 'Positive': 0.039281327}"
Amsterdam,p road transport accident injury prince hendrikkade amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.43706724, 'Neutral': 0.54111874, 'Positive': 0.02181407}"
Amsterdam,p road transport accident injury piet heinkade amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.3909648, 'Neutral': 0.5853897, 'Positive': 0.023645593}"
Amsterdam,p road transport accident injury haarlemmerstraat amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.4230818, 'Neutral': 0.5528353, 'Positive': 0.024082907}"
Amsterdam,p road transport accident injury willem de zwijgerlaan amsterdam | oc police unit amsterdam press info | ^tz,"{'Negative': 0.40162638, 'Neutral': 0.57480633, 'Positive': 0.023567308}"
