user,senti_text_processed,sentimenal_res
Madrid,"be proactive in the face of possible glare from the sun at sunset, remember to take precautions so that this does not happen, wear sunglasses and drive with great caution.extreme attention at crosswalks and pedestrian crossings . safety","{'Negative': 0.16914673, 'Neutral': 0.63534504, 'Positive': 0.19550823}"
Madrid,"today is the day for many to return home. in the event of a vehicle breakdown, remember to signal it correctly.don't stay walking on the road, put on your reflective safety vest so they can see you and protect yourself. safety","{'Negative': 0.106559366, 'Neutral': 0.5882682, 'Positive': 0.30517247}"
Madrid,"we recommend you go to the latest processions in , check the schedules and routes on this resurrection sunday will be there to ensure your safety.","{'Negative': 0.0143046705, 'Neutral': 0.6996767, 'Positive': 0.28601864}"
Madrid,"alcohol is present in one in three deadly traffic accidents, you need to be at % capacity to reach your destination with guarantees.at the wheel , do not consume a drop.","{'Negative': 0.6413748, 'Neutral': 0.31947967, 'Positive': 0.039145518}"
Madrid,"pickpockets take advantage of any small oversight and, especially, places with agglomeration of people.don't lose sight of your belongings. don't let them ruin your day.","{'Negative': 0.7594331, 'Neutral': 0.21744716, 'Positive': 0.023119723}"
Madrid,do you think that by riding a you can park it wherever you want?know the places where you can park.respect pedestrians.learn more ordinance,"{'Negative': 0.15761904, 'Neutral': 0.63837904, 'Positive': 0.20400198}"
Madrid,"today we remember our jos domnguez muios, a guard who died in the line of duty on alcal street and general pardias street on april , , hit by a tram.'tforget","{'Negative': 0.6370683, 'Neutral': 0.33849964, 'Positive': 0.024432072}"
Madrid,"a drop of alcohol behind the wheel, just one drink can alter the way you drive and trigger an accident.do not play it, behind the wheel alcohol and drugs.arrive at your destination with guarantees.","{'Negative': 0.7850142, 'Neutral': 0.19578896, 'Positive': 0.019196833}"
Madrid,"if you plan to go to processions or crowded places, be careful with your belongings. carry your wallet in a safe place, like inner pockets of your clothing. cross your bag to avoid pulls and close your zippers well.","{'Negative': 0.10171049, 'Neutral': 0.75635856, 'Positive': 0.14193092}"
Madrid,we teach our children not to talk to strangers but then they maintain contact with adults through social networks.the best prevention is that they learn what are the dangers they can find on the internet and use it with common sense. bullying,"{'Negative': 0.3203035, 'Neutral': 0.50629264, 'Positive': 0.1734039}"
Madrid,i know the schedules and the routes of the week processions in .plan and get around in . you security,"{'Negative': 0.04623824, 'Neutral': 0.8921201, 'Positive': 0.061641697}"
Madrid,"behind the wheel alcohol and drugs, this week with the road safety campaign controls are intensified. the reflections are not the same, the perception of reality varies.driver: be responsible, do it for yourself, do it for yours","{'Negative': 0.36715338, 'Neutral': 0.5606365, 'Positive': 0.072210036}"
Madrid,is the best option if you plan to attend one of the many processions that take place in the capital. we will be ensuring your safety in each of them.,"{'Negative': 0.003951413, 'Neutral': 0.11761283, 'Positive': 0.87843573}"
Madrid,"well, nothing to add to the and campaign on the use of on and . whether or not you are a fan of , ""be a mandalorian, don't take off your helmet""","{'Negative': 0.4512986, 'Neutral': 0.5145771, 'Positive': 0.034124337}"
Madrid,"we continue with the exit operation, be very careful behind the wheel.respect the signage and remember that it is recommended that every hours in a row or km of driving, you rest for a minimum of min.","{'Negative': 0.082265146, 'Neutral': 0.777526, 'Positive': 0.14020878}"
Madrid,"driving having consumed alcohol or drugs multiplies by the chances of having a traffic accident, don't play it .","{'Negative': 0.8390525, 'Neutral': 0.149188, 'Positive': 0.011759527}"
Madrid,"this week if you go to the processions, don't miss any steps and go by .""check the pedestrianizations and traffic cuts due to the processions of ""","{'Negative': 0.15933813, 'Neutral': 0.7291519, 'Positive': 0.111509964}"
Madrid,"a -year-old girl who was taking care of three babies aged , and months is verbally and physically assaulted by her mother's partner. agents from and the national police detain the author for domestic violence and the mother of the children for abandonment of minors.","{'Negative': 0.8765115, 'Neutral': 0.11929956, 'Positive': 0.0041889483}"
Madrid,"more than a thousand alcohol and drug controls were carried out last weekend in the capital. this week, the devices will be further intensified to ensure your and that of yours. when driving , of alcohol and drugs.","{'Negative': 0.046536718, 'Neutral': 0.7700869, 'Positive': 0.18337633}"
Madrid,"in each district police station there are citizen attention offices that serve for complaints about and that, due to their complexity, cannot be made directly by a street patrol. get in touch with them","{'Negative': 0.43707067, 'Neutral': 0.52650154, 'Positive': 0.036427766}"
Madrid,"a man and a woman have been arrested in for a crime against public health. after a complaint for retail of , agents from the citizen service office carried out a follow-up in the area, surprising the making the sale.","{'Negative': 0.51229227, 'Neutral': 0.47221377, 'Positive': 0.015493946}"
Madrid,"our agents with their work help preserve our ecosystems, protecting both animal and vegetable species.you can also help us if you see any danger: call us /112 (24h days)","{'Negative': 0.0074247806, 'Neutral': 0.24755, 'Positive': 0.74502516}"
Madrid,". did you know that half of the drivers killed in a traffic accident had consumed alcohol or drugs?consuming these substances, in addition to taking away points and money, can take your life and that of your loved ones.","{'Negative': 0.93780535, 'Neutral': 0.058063272, 'Positive': 0.0041313404}"
Madrid,"presentation, together with , of new vehicles from is about patrol cars, sedans, motorcycles, vans and coachesthis mandate we have gone from to vehicles, which represents an increase of %","{'Negative': 0.010098691, 'Neutral': 0.7599675, 'Positive': 0.2299338}"
Madrid,"arrested for a crime against public health in a park.after an arduous investigation, the agents seized doses of cocaine ready for immediate sale.","{'Negative': 0.7481615, 'Neutral': 0.23914975, 'Positive': 0.012688729}"
Madrid,"today we remember our florencio aldobera carrasco, a policeman who died in the line of duty on calle monte len with calle sandoval on april , , due to an assault with a knife.'tforget","{'Negative': 0.72523373, 'Neutral': 0.2600469, 'Positive': 0.014719347}"
Madrid,"morning . this week, with the and surveillance campaign, we increase controls for your . cyclists are also required to take the screening test. on alcohol. safety","{'Negative': 0.06072037, 'Neutral': 0.8111179, 'Positive': 0.12816176}"
Madrid,"today we have a double day of in the capital. at :15 p.m. faces at the bernabeu and at :00 p.m. faces at the .we recommend that if you plan to attend, it is better to go by .","{'Negative': 0.005614783, 'Neutral': 0.35129568, 'Positive': 0.64308953}"
Madrid,"morning . if you are coming to the capital with your vehicle, pay close attention to this information that clarifies any doubts about the vehicles that can access and circulate through the areas.","{'Negative': 0.09944203, 'Neutral': 0.83524454, 'Positive': 0.06531338}"
Madrid,"if you are preparing the holidays, remember that your pet is one of the family for life, do not abandon him because he would never do it, they are not a toy, they are your responsibility.don't abandon them.","{'Negative': 0.1140716, 'Neutral': 0.43998054, 'Positive': 0.4459479}"
Madrid,"are you going out tonight? if you intend to consume alcohol, remember to do so responsibly and not take the car. like every weekend, we will be in different parts of the city carrying out alcohol and drug controls, ensuring your .","{'Negative': 0.084491424, 'Neutral': 0.74390155, 'Positive': 0.17160702}"
Madrid,"we collaborate with our in a fire in , offering a live aerial vision for the safety of all those involved and to improve the decisions of the teams. support","{'Negative': 0.008085133, 'Neutral': 0.41203135, 'Positive': 0.5798835}"
Madrid,. if you are going to travel in your vehicle over the weekend remember: drive with caution. leave in time to reach your destination. respect the speed of the road. if there is retention be patient.if you need us:,"{'Negative': 0.08106741, 'Neutral': 0.70015013, 'Positive': 0.21878248}"
Madrid,"for all of you who stay in , we leave you the link with all the incidents that there will be in road traffic due to religious events, cuts and pedestrianizations.we recommend that this you use .","{'Negative': 0.36484638, 'Neutral': 0.57030857, 'Positive': 0.06484507}"
Madrid,"if you stay this week in come to the to see our exhibition: years moving madrid. you will see through our eyes how madrid has changed, its streets, its traffic and its people. free admission://","{'Negative': 0.008374036, 'Neutral': 0.36964613, 'Positive': 0.6219798}"
Madrid,the new issue of the corresponding to the months of january and february is now available.you can consult or download it at the following link,"{'Negative': 0.012664856, 'Neutral': 0.8435559, 'Positive': 0.14377913}"
Madrid,today at :00 p.m. the departure operation begins remember to check your vehicle before leaving and stay informed at and of traffic changes.see you around the corner!,"{'Negative': 0.023505354, 'Neutral': 0.8254871, 'Positive': 0.15100755}"
Madrid,a rifle with a telescopic sight and simulated airsoft silencer was intervened. it was being used by two individuals in a park picnic area. they were surprised shooting at a target at m. also lacked the weapons card and serial number.,"{'Negative': 0.39739764, 'Neutral': 0.5521057, 'Positive': 0.05049659}"
Madrid,"tonight, we have a concert at , with doors opening at :30 p.m. remember that there will be restrictions on public parking and road traffic cuts in the vicinity of the pavilion.better go in transport","{'Negative': 0.17910844, 'Neutral': 0.69507766, 'Positive': 0.12581392}"
Madrid,"are travel days, be very careful on the road, respect the speed of the road and the signage. patience is a great virtue. .remember: the important thing is to arrive, take care of yours!","{'Negative': 0.053657398, 'Neutral': 0.40044644, 'Positive': 0.5458962}"
Madrid,"madrid municipal police has participated in the third simulation of the european intrepid project , which develops technologies to improve the response of emergency services to a catastrophe, with drones, robots and ai.","{'Negative': 0.0240781, 'Neutral': 0.7343937, 'Positive': 0.24152814}"
Madrid,"arrested in for identifying himself with a false document before the agents (documentary falsehood). when checking the true data of him, he had an arrest warrant and imprisonment. security","{'Negative': 0.5387538, 'Neutral': 0.44669205, 'Positive': 0.014554162}"
Madrid,did you know that our cavalry squad was officially born during the term of count romanones? it is in when the mounted guard is formed.it currently has purebred spanish horses and components.,"{'Negative': 0.034204528, 'Neutral': 0.92077315, 'Positive': 0.045022294}"
Madrid,"today the technical table for social exclusion organized by the police station was held at the headquarters of the prosecutor's office specialized in ., , , , and , among others, have participated.","{'Negative': 0.10513675, 'Neutral': 0.8582689, 'Positive': 0.036594354}"
Madrid,"the drones of the air support section are the eyes of our agents in numerous interventions in coordination with the rest of the services, especially and","{'Negative': 0.01645239, 'Neutral': 0.83905596, 'Positive': 0.14449166}"
Madrid,"caught ""red-handed"" by plainclothes officers from when they aroused suspicions due to their nervous and vigilant attitude.the detainee threw a license plate against the fence of a school through the vehicle window upon noticing the police presence.","{'Negative': 0.7741698, 'Neutral': 0.21640992, 'Positive': 0.009420275}"
Madrid,"even if you're at a pedestrian crossing and have a preference, cross paying as much attention as possible for your .mobile phones reduce attention to both and . safety","{'Negative': 0.41519597, 'Neutral': 0.51312363, 'Positive': 0.07168043}"
Madrid,many cultures celebrate the blooming of trees in (like the japanese ). take advantage of this gift of full of beauty that makes us think about the transience of and enjoy the present moment.,"{'Negative': 0.0014846144, 'Neutral': 0.049778767, 'Positive': 0.94873667}"
Madrid,"addiction to video games is considered a disease by the who. it can change character, cause academic, family problems and social isolation.in children, supervise and limit play time and propose leisure alternatives.","{'Negative': 0.8542778, 'Neutral': 0.13606092, 'Positive': 0.009661209}"
Madrid,man arrested in for a crime against public health. he had more than grams of methamphetamine hidden in his pants.,"{'Negative': 0.8146211, 'Neutral': 0.1778208, 'Positive': 0.0075580743}"
Madrid,there are actions that are intolerable if we want to make the world a better place: is any action that is carried out in digital media with the intention of causing harm or suffering.and you... are you cyberviolent?,"{'Negative': 0.90945697, 'Neutral': 0.084281385, 'Positive': 0.0062616225}"
Madrid,"good morning madrid!!if you are a lover of two wheels give us some advice, always remember to use:approved helmet, better if it is integral suitable clothingenjoy life without losing your mind or leaving your skin on the asphalt. safety","{'Negative': 0.016712287, 'Neutral': 0.2424864, 'Positive': 0.7408014}"
Madrid,"remember that you have neighbors and that their rest is important, try not to make annoying noises, put yourself in the place of others.the figure of the mediator agent is in the district police stations to help you with neighborhood coexistence problems.","{'Negative': 0.18228592, 'Neutral': 0.6661238, 'Positive': 0.15159027}"
Madrid,"agents arrest two employees of a nightclub for selling narcotic substances to customers. grams of pink cocaine or ""tusi"" distributed in bags for sale are involved.","{'Negative': 0.6507228, 'Neutral': 0.3373795, 'Positive': 0.011897678}"
Madrid,"picking up s' feces is not nice, sometimes it can be tempting not to, but it's important. avoid risks to the of people and animals .for a good .","{'Negative': 0.54168475, 'Neutral': 0.37350836, 'Positive': 0.08480694}"
Madrid,good morning !!do you want to know the traffic incidents in our capital?in this link you can consult them remember that the best thing for your trips is the use of .,"{'Negative': 0.023370316, 'Neutral': 0.34126842, 'Positive': 0.63536125}"
Madrid,attention this afternoon to the in our city because it will activate the yellow alert due to adverse weather conditions. are for you,"{'Negative': 0.1099462, 'Neutral': 0.7919033, 'Positive': 0.09815045}"
