user,senti_text_processed,sentimenal_res
Prague,"police officers extinguished tram number at the elivskho public transport stop shortly after p.m. they got to the hearth on the roof by making a ""chair out of their hands"".","{'Negative': 0.3855316, 'Neutral': 0.5831539, 'Positive': 0.031314548}"
Prague,"steppe serval caught - we thank the public for their cooperation! the policemen, together with an employee of the trapping service from jesenice, caught him with the help of a net on the property of the high school and kindergarten in horkov street. the animal is now on its way to the vet.","{'Negative': 0.006892284, 'Neutral': 0.15847689, 'Positive': 0.8346308}"
Prague,"we want to share the news with you the representative office of of the city of prague approved new benefits not only for our employees, but also for newly arrived colleagues.more here:","{'Negative': 0.002140403, 'Neutral': 0.23142782, 'Positive': 0.76643175}"
Prague,"almost police officers checked almost places, including playgrounds, and collected pieces of infectious material from drug addicts. good news - the pitches are almost flawless!","{'Negative': 0.05053513, 'Neutral': 0.19323936, 'Positive': 0.75622547}"
Prague,beautiful gesture from colleagues from :// you,"{'Negative': 0.0017568845, 'Neutral': 0.016346911, 'Positive': 0.98189616}"
Prague,"do you want to help treat covid-19 patients? join us!for more information and terms of donation, see here: via","{'Negative': 0.005123554, 'Neutral': 0.6311577, 'Positive': 0.36371884}"
Prague,"during october, police officers in prague dealt with almost violations of crisis and emergency measuresmore here:","{'Negative': 0.35956836, 'Neutral': 0.6125645, 'Positive': 0.027867112}"
Prague,thank you for the positive feedback and have a nice day,"{'Negative': 0.0014560098, 'Neutral': 0.008148573, 'Positive': 0.9903955}"
Prague,"if he is not in one of our shelters, then he was not caught by us.","{'Negative': 0.42513034, 'Neutral': 0.55639714, 'Positive': 0.018472537}"
Prague,hello. contact colleagues from our shelter directly. they have an overview and will provide you with information. have a nice day,"{'Negative': 0.0018767203, 'Neutral': 0.051751487, 'Positive': 0.94637173}"
Prague,thank you for the compliment. colleagues try to do everything they can to maintain order. have a nice day,"{'Negative': 0.0017178523, 'Neutral': 0.014642853, 'Positive': 0.9836393}"
Prague,"good day. if you mean a car with cameras, its operator is not the city police.","{'Negative': 0.15602143, 'Neutral': 0.44775966, 'Positive': 0.3962189}"
