user,senti_text_processed,sentimenal_res
Oslo,the fire brigade is continuing to put out the fire. it is still blocked in cecilie thoresen's road from no. to approx. no. .,"{'Negative': 0.4779788, 'Neutral': 0.502404, 'Positive': 0.019617185}"
Oslo,it is desirable that those who have video/photos from the fire send this in to the police. this is done on the tips portal at,"{'Negative': 0.036338463, 'Neutral': 0.5832244, 'Positive': 0.38043705}"
Oslo,"due to a lot of smoke in the area as a result of the fire, we ask residents close to the scene to close windows and doors until the smoke subsides more.","{'Negative': 0.33846772, 'Neutral': 0.6226188, 'Positive': 0.038913507}"
Oslo,the car has been removed,"{'Negative': 0.2594984, 'Neutral': 0.69469917, 'Positive': 0.0458024}"
Oslo,"there will be a fire in the gymnasium, and the building it is in is described as completely engulfed in flames. there should not have been classes in the building when the fire started. lots of smoke in the area.","{'Negative': 0.8859251, 'Neutral': 0.106624454, 'Positive': 0.007450422}"
Oslo,cecilie thoresen's road will be closed in both directions due to the fire. it is possible that the fire is in the gymnasium.,"{'Negative': 0.4699113, 'Neutral': 0.503183, 'Positive': 0.026905712}"
Oslo,the emergency services are on their way to lambertseter high school after reports of a fire.,"{'Negative': 0.22022615, 'Neutral': 0.743231, 'Positive': 0.0365428}"
Oslo,the car has been removed.,"{'Negative': 0.26926073, 'Neutral': 0.6733774, 'Positive': 0.057361938}"
Oslo,large queues towards the site.,"{'Negative': 0.22987637, 'Neutral': 0.72889936, 'Positive': 0.04122431}"
Oslo,"another car with a stop, now on e6 exiting at helsfyr. standing in left field. traffic passes slowly in the right lane. queuing must be expected.","{'Negative': 0.31559646, 'Neutral': 0.6099507, 'Positive': 0.074452795}"
Oslo,"car stopping at the e6 lodalsbrua, inbound. looks like one or both rear wheels are completely out of position. traffic passes in the left lane. bilberger is on his way.","{'Negative': 0.5134653, 'Neutral': 0.44802427, 'Positive': 0.03851043}"
Oslo,"car stopped in the right lane in the tunnel, outbound direction. standing in a slight curve, motorists are asked to be vigilant.","{'Negative': 0.24524666, 'Neutral': 0.71508163, 'Positive': 0.039671715}"
Oslo,some congestion in the area as a result of the accident.,"{'Negative': 0.75964266, 'Neutral': 0.23205583, 'Positive': 0.008301517}"
Oslo,the emergency services are in toftes gate where there has been a traffic accident between a motorist and a cyclist. unknown extent of damage to the cyclist per now.,"{'Negative': 0.5970034, 'Neutral': 0.38495964, 'Positive': 0.018037014}"
Oslo,the emergency services are at the sinsen tram station where a person has been hit by the tram. no serious injuries have been reported and the person was taken to the emergency room for a check-up.,"{'Negative': 0.19636741, 'Neutral': 0.71314716, 'Positive': 0.09048543}"
Oslo,a car has stopped in the right lane on the e6 exit at holmen. bilberger is on his way.,"{'Negative': 0.10388456, 'Neutral': 0.8320551, 'Positive': 0.06406033}"
Oslo,suspects are arrested and taken into custody. we are filing a case on the relationship.,"{'Negative': 0.24017774, 'Neutral': 0.7244324, 'Positive': 0.035389904}"
Oslo,we are at skullerud with several patrols following a report from a newspaper delivery man that he has been threatened by a person with a firearm. we have a suspect under control and what turned out to be an air weapon.,"{'Negative': 0.5313668, 'Neutral': 0.45312667, 'Positive': 0.015506489}"
Oslo,we are in christian michelsens gate together with the fire service in connection with a water leak from an apartment.,"{'Negative': 0.22666807, 'Neutral': 0.74258083, 'Positive': 0.03075117}"
Oslo,the suspect does not have a valid driver's license.,"{'Negative': 0.8060865, 'Neutral': 0.18814097, 'Positive': 0.005772554}"
Oslo,we now have control over the car and driver. driver blown to above legal value. we create a report.,"{'Negative': 0.1779568, 'Neutral': 0.7408438, 'Positive': 0.081199415}"
