user,senti_text_processed,sentimenal_res
London,"as of hrs, met police are on scene at street, assisting the city of london police with just stop oil slow walking in the road. updates to follow.","{'Negative': 0.02068751, 'Neutral': 0.80048704, 'Positive': 0.17882542}"
London,| police are renewing the appeal for help to find a man who was last seen in .andrew richards was reported missing by health care professionals during an escorted visit to town centre on wednesday may /3,"{'Negative': 0.10355993, 'Neutral': 0.85552585, 'Positive': 0.040914193}"
London,"we want to protect everyone who uses roads around the square mile and prevent road deaths and injury.if you've been involved in a road traffic incident, or think you might have witnessed an offence on the roads, you can report it here:","{'Negative': 0.32975188, 'Neutral': 0.5580295, 'Positive': 0.11221865}"
London,baseline briefing is a free cyber security presentation from cyber griffin covering: social engineering phishing account security secure connections malwareinternet of thingslaunching .://,"{'Negative': 0.07756165, 'Neutral': 0.846598, 'Positive': 0.07584032}"
London,"applications are now open for tech companies to participate in this years cyber innovation challenge, delivered in partnership with . find out more, including criteria and how to apply, below. applications close on may.","{'Negative': 0.0021123078, 'Neutral': 0.5507629, 'Positive': 0.44712484}"
London,"police staff investigator hayley wade received the commanders commendation for her professionalism throughout a fraud investigation where victims suffered losses of m. hayley said, it was an honour to be recognised for my work in a very challenging investigation.","{'Negative': 0.032326937, 'Neutral': 0.19401811, 'Positive': 0.773655}"
London,"women and girls shouldnt have to feel scared or intimidated or fear harassment when theyre out.if you see something that isnt right, intervene if its safe to do so or report to the police. the city is a safe place and we want to keep it safe for everyone.","{'Negative': 0.2685318, 'Neutral': 0.56945074, 'Positive': 0.1620174}"
London,"ifed is taking action against opportunistic insurance fraud, as cost of living pressures drive a surge in cases.our officers investigated claims in february and march, resulting in multiple search warrants, arrests and charges.read more","{'Negative': 0.3904872, 'Neutral': 0.56101704, 'Positive': 0.048495818}"
London,"have you been targeted by criminals using ?in the wake of an operation to take down the global online platform that sold stolen identities, people are being urged to check if they have been affected.find out how on our website","{'Negative': 0.55352396, 'Neutral': 0.4247875, 'Positive': 0.02168852}"
London,"our cyber crime unit carried out a search warrant in hackney yesterday as part of this investigation, resulting in the arrest of two people for fraud offences.multiple computer and mobile devices were seized, along with a quantity of cash. enquiries are ongoing.","{'Negative': 0.39096153, 'Neutral': 0.5794258, 'Positive': 0.029612582}"
