user,senti_text_processed,sentimenal_res
Helsinki,great that the permit matters were taken care of! have a nice spring.,"{'Negative': 0.0020337803, 'Neutral': 0.0149172405, 'Positive': 0.98304904}"
Helsinki,good morning from pasila. we have a quiet morning in the permit services today. you are also welcome to apply for a passport without an appointment.,"{'Negative': 0.0034094008, 'Neutral': 0.11542503, 'Positive': 0.88116556}"
Helsinki,"the joint concert of the guard band and the helsinki police band will be held at the helsinki music hall on monday may. at p.m. tickets can be purchased from ticketmaster, and the concert can be watched live on the defense forces' youtube channel free of charge.","{'Negative': 0.0025999174, 'Neutral': 0.7565632, 'Positive': 0.24083684}"
Helsinki,an -year-old woman who was missing in vartioharju has been found. the police would like to thank everyone who shared the report!,"{'Negative': 0.005078247, 'Neutral': 0.15827253, 'Positive': 0.8366492}"
Helsinki,the police are investigating the causes of the accident. the driver of the passenger car is currently suspected of grossly endangering traffic safety and injury.,"{'Negative': 0.86599755, 'Neutral': 0.12818365, 'Positive': 0.005818797}"
Helsinki,"a traffic accident occurred in hietalahtenranta after o'clock, where the driver of a car hit a pedestrian crossing the crosswalk with his car. the pedestrian was injured and taken to the hospital.","{'Negative': 0.760945, 'Neutral': 0.2298332, 'Positive': 0.009221723}"
Helsinki,"hi kristian! you can come to pasila without an appointment mon-fri from am to :15 pm. appointment times are added weekly if possible. the application should be made in advance at the transaction service, as it speeds up the transaction. at the same time, you will find out whether you need to visit the station at all.","{'Negative': 0.033246864, 'Neutral': 0.6254947, 'Positive': 0.3412584}"
Helsinki,thanks for the observation. the correct day of the week has now been corrected in the bulletin.,"{'Negative': 0.010427788, 'Neutral': 0.33469, 'Positive': 0.65488225}"
Helsinki,one died in an apartment fire in pakila. ://,"{'Negative': 0.9303613, 'Neutral': 0.06481929, 'Positive': 0.004819436}"
Helsinki,: there is strength in official cooperation the goal of inspectors' supervision is fair competition and fair working conditions...there is strength in cooperation between authorities the aim of the inspectors' supervision is to promote fair competition and fair working conditions and prevent the gray economy.,"{'Negative': 0.04799674, 'Neutral': 0.5813294, 'Positive': 0.37067387}"
